#Destpos	P7	P5	P7_pos	P5_pos
A01	1281	1347	B23	F16
B01	1282	1348	D23	H16
C01	1283	1349	F23	J16
D01	1284	1350	H23	L16
E01	1285	1351	J23	N16
F01	1286	1352	L23	P16
G01	1287	1345	N23	B16
H01	1288	1346	P23	D16
A02	1249	1315	B15	F08
B02	1250	1316	D15	H08
C02	1251	1317	F15	J08
D02	1252	1318	H15	L08
E02	1253	1319	J15	N08
F02	1254	1320	L15	P08
G02	1255	1313	N15	B08
H02	1256	1314	P15	D08
A03	1129	1195	A10	F01
B03	1130	1196	C10	H01
C03	1131	1197	E10	J01
D03	1132	1198	G10	L01
E03	1133	1199	I10	N01
F03	1134	1200	K10	P01
G03	1135	1193	M10	B01
H03	1136	1194	O10	D01
A04	1057	1123	A15	E08
B04	1058	1124	C15	G08
C04	1059	1125	E15	I08
D04	1060	1126	G15	K08
E04	1061	1127	I15	M08
F04	1062	1128	K15	O08
G04	1063	1121	M15	A08
H04	1064	1122	O15	C08
A05	1305	1371	B06	F22
B05	1306	1372	D06	H22
C05	1307	1373	F06	J22
D05	1308	1374	H06	L22
E05	1309	1375	J06	N22
F05	1310	1376	L06	P22
G05	1311	1369	N06	B22
H05	1312	1370	P06	D22
A06	1177	1243	A22	F13
B06	1178	1244	C22	H13
C06	1179	1245	E22	J13
D06	1180	1246	G22	L13
E06	1181	1247	I22	N13
F06	1182	1248	K22	P13
G06	1183	1241	M22	B13
H06	1184	1242	O22	D13
A07	1145	1211	A14	F05
B07	1146	1212	C14	H05
C07	1147	1213	E14	J05
D07	1148	1214	G14	L05
E07	1149	1215	I14	N05
F07	1150	1216	K14	P05
G07	1151	1209	M14	B05
H07	1152	1210	O14	D05
A08	1209	1275	B05	F21
B08	1210	1276	D05	H21
C08	1211	1277	F05	J21
D08	1212	1278	H05	L21
E08	1213	1279	J05	N21
F08	1214	1280	L05	P21
G08	1215	1273	N05	B21
H08	1216	1274	P05	D21
A09	1369	1051	B22	E13
B09	1370	1052	D22	G13
C09	1371	1053	F22	I13
D09	1372	1054	H22	K13
E09	1373	1055	J22	M13
F09	1374	1056	L22	O13
G09	1375	1049	N22	A13
H09	1376	1050	P22	C13
A10	1041	1107	A11	E04
B10	1042	1108	C11	G04
C10	1043	1109	E11	I04
D10	1044	1110	G11	K04
E10	1045	1111	I11	M04
F10	1046	1112	K11	O04
G10	1047	1105	M11	A04
H10	1048	1106	O11	C04
A11	1137	1203	A12	F03
B11	1138	1204	C12	H03
C11	1139	1205	E12	J03
D11	1140	1206	G12	L03
E11	1141	1207	I12	N03
F11	1142	1208	K12	P03
G11	1143	1201	M12	B03
H11	1144	1202	O12	D03
A12	1081	1147	A21	E14
B12	1082	1148	C21	G14
C12	1083	1149	E21	I14
D12	1084	1150	G21	K14
E12	1085	1151	I21	M14
F12	1086	1152	K21	O14
G12	1087	1145	M21	A14
H12	1088	1146	O21	C14
