#Destpos	P7	P5	P7_pos	P5_pos
A01	1049	1269	A13	J19
B01	1050	1270	C13	L19
C01	1051	1271	E13	N19
D01	1052	1272	G13	P19
E01	1053	1265	I13	B19
F01	1054	1266	K13	D19
G01	1055	1267	M13	F19
H01	1056	1268	O13	H19
A02	1137	1357	A12	J18
B02	1138	1358	C12	L18
C02	1139	1359	E12	N18
D02	1140	1360	G12	P18
E02	1141	1353	I12	B18
F02	1142	1354	K12	D18
G02	1143	1355	M12	F18
H02	1144	1356	O12	H18
A03	1265	1101	B19	I02
B03	1266	1102	D19	K02
C03	1267	1103	F19	M02
D03	1268	1104	H19	O02
E03	1269	1097	J19	A02
F03	1270	1098	L19	C02
G03	1271	1099	N19	E02
H03	1272	1100	P19	G02
A04	1297	1133	B04	I10
B04	1298	1134	D04	K10
C04	1299	1135	F04	M10
D04	1300	1136	H04	O10
E04	1301	1129	J04	A10
F04	1302	1130	L04	C10
G04	1303	1131	N04	E10
H04	1304	1132	P04	G10
A05	1201	1037	B03	I09
B05	1202	1038	D03	K09
C05	1203	1039	F03	M09
D05	1204	1040	H03	O09
E05	1205	1033	J03	A09
F05	1206	1034	L03	C09
G05	1207	1035	N03	E09
H05	1208	1036	P03	G09
A06	1001	1221	A01	J07
B06	1002	1222	C01	L07
C06	1003	1223	E01	N07
D06	1004	1224	G01	P07
E06	1005	1217	I01	B07
F06	1006	1218	K01	D07
G06	1007	1219	M01	F07
H06	1008	1220	O01	H07
A07	1089	1309	A23	J06
B07	1090	1310	C23	L06
C07	1091	1311	E23	N06
D07	1092	1312	G23	P06
E07	1093	1305	I23	B06
F07	1094	1306	K23	D06
G07	1095	1307	M23	F06
H07	1096	1308	O23	H06
A08	1337	1173	B14	I20
B08	1338	1174	D14	K20
C08	1339	1175	F14	M20
D08	1340	1176	H14	O20
E08	1341	1169	J14	A20
F08	1342	1170	L14	C20
G08	1343	1171	N14	E20
H08	1344	1172	P14	G20
A09	1233	1069	B11	I17
B09	1234	1070	D11	K17
C09	1235	1071	F11	M17
D09	1236	1072	H11	O17
E09	1237	1065	J11	A17
F09	1238	1066	L11	C17
G09	1239	1067	N11	E17
H09	1240	1068	P11	G17
A10	1305	1141	B06	I12
B10	1306	1142	D06	K12
C10	1307	1143	F06	M12
D10	1308	1144	H06	O12
E10	1309	1137	J06	A12
F10	1310	1138	L06	C12
G10	1311	1139	N06	E12
H10	1312	1140	P06	G12
A11	1361	1197	B20	J01
B11	1362	1198	D20	L01
C11	1363	1199	F20	N01
D11	1364	1200	H20	P01
E11	1365	1193	J20	B01
F11	1366	1194	L20	D01
G11	1367	1195	N20	F01
H11	1368	1196	P20	H01
A12	1025	1245	A07	J13
B12	1026	1246	C07	L13
C12	1027	1247	E07	N13
D12	1028	1248	G07	P13
E12	1029	1241	I07	B13
F12	1030	1242	K07	D13
G12	1031	1243	M07	F13
H12	1032	1244	O07	H13
