#Destpos	P7	P5	P7_pos	P5_pos
A01	1113	1349	A06	J16
B01	1114	1350	C06	L16
C01	1115	1351	E06	N16
D01	1116	1352	G06	P16
E01	1117	1345	I06	B16
F01	1118	1346	K06	D16
G01	1119	1347	M06	F16
H01	1120	1348	O06	H16
A02	1241	1093	B13	I23
B02	1242	1094	D13	K23
C02	1243	1095	F13	M23
D02	1244	1096	H13	O23
E02	1245	1089	J13	A23
F02	1246	1090	L13	C23
G02	1247	1091	N13	E23
H02	1248	1092	P13	G23
A03	1273	1125	B21	I08
B03	1274	1126	D21	K08
C03	1275	1127	F21	M08
D03	1276	1128	H21	O08
E03	1277	1121	J21	A08
F03	1278	1122	L21	C08
G03	1279	1123	N21	E08
H03	1280	1124	P21	G08
A04	1089	1325	A23	J10
B04	1090	1326	C23	L10
C04	1091	1327	E23	N10
D04	1092	1328	G23	P10
E04	1093	1321	I23	B10
F04	1094	1322	K23	D10
G04	1095	1323	M23	F10
H04	1096	1324	O23	H10
A05	1225	1077	B09	I19
B05	1226	1078	D09	K19
C05	1227	1079	F09	M19
D05	1228	1080	H09	O19
E05	1229	1073	J09	A19
F05	1230	1074	L09	C19
G05	1231	1075	N09	E19
H05	1232	1076	P09	G19
A06	1041	1277	A11	J21
B06	1042	1278	C11	L21
C06	1043	1279	E11	N21
D06	1044	1280	G11	P21
E06	1045	1273	I11	B21
F06	1046	1274	K11	D21
G06	1047	1275	M11	F21
H06	1048	1276	O11	H21
A07	1265	1117	B19	I06
B07	1266	1118	D19	K06
C07	1267	1119	F19	M06
D07	1268	1120	H19	O06
E07	1269	1113	J19	A06
F07	1270	1114	L19	C06
G07	1271	1115	N19	E06
H07	1272	1116	P19	G06
A08	1329	1181	B12	I22
B08	1330	1182	D12	K22
C08	1331	1183	F12	M22
D08	1332	1184	H12	O22
E08	1333	1177	J12	A22
F08	1334	1178	L12	C22
G08	1335	1179	N12	E22
H08	1336	1180	P12	G22
A09	1177	1029	A22	I07
B09	1178	1030	C22	K07
C09	1179	1031	E22	M07
D09	1180	1032	G22	O07
E09	1181	1025	I22	A07
F09	1182	1026	K22	C07
G09	1183	1027	M22	E07
H09	1184	1028	O22	G07
A10	1009	1245	A03	J13
B10	1010	1246	C03	L13
C10	1011	1247	E03	N13
D10	1012	1248	G03	P13
E10	1013	1241	I03	B13
F10	1014	1242	K03	D13
G10	1015	1243	M03	F13
H10	1016	1244	O03	H13
A11	1017	1253	A05	J15
B11	1018	1254	C05	L15
C11	1019	1255	E05	N15
D11	1020	1256	G05	P15
E11	1021	1249	I05	B15
F11	1022	1250	K05	D15
G11	1023	1251	M05	F15
H11	1024	1252	O05	H15
A12	1081	1317	A21	J08
B12	1082	1318	C21	L08
C12	1083	1319	E21	N08
D12	1084	1320	G21	P08
E12	1085	1313	I21	B08
F12	1086	1314	K21	D08
G12	1087	1315	M21	F08
H12	1088	1316	O21	H08
