#Destpos	P7	P5	P7_pos	P5_pos
A01	1353	1005	B18	I01
B01	1354	1006	D18	K01
C01	1355	1007	F18	M01
D01	1356	1008	H18	O01
E01	1357	1001	J18	A01
F01	1358	1002	L18	C01
G01	1359	1003	N18	E01
H01	1360	1004	P18	G01
A02	1121	1157	A08	I16
B02	1122	1158	C08	K16
C02	1123	1159	E08	M16
D02	1124	1160	G08	O16
E02	1125	1153	I08	A16
F02	1126	1154	K08	C16
G02	1127	1155	M08	E16
H02	1128	1156	O08	G16
A03	1313	1349	B08	J16
B03	1314	1350	D08	L16
C03	1315	1351	F08	N16
D03	1316	1352	H08	P16
E03	1317	1345	J08	B16
F03	1318	1346	L08	D16
G03	1319	1347	N08	F16
H03	1320	1348	P08	H16
A04	1017	1053	A05	I13
B04	1018	1054	C05	K13
C04	1019	1055	E05	M13
D04	1020	1056	G05	O13
E04	1021	1049	I05	A13
F04	1022	1050	K05	C13
G04	1023	1051	M05	E13
H04	1024	1052	O05	G13
A05	1089	1125	A23	I08
B05	1090	1126	C23	K08
C05	1091	1127	E23	M08
D05	1092	1128	G23	O08
E05	1093	1121	I23	A08
F05	1094	1122	K23	C08
G05	1095	1123	M23	E08
H05	1096	1124	O23	G08
A06	1281	1317	B23	J08
B06	1282	1318	D23	L08
C06	1283	1319	F23	N08
D06	1284	1320	H23	P08
E06	1285	1313	J23	B08
F06	1286	1314	L23	D08
G06	1287	1315	N23	F08
H06	1288	1316	P23	H08
A07	1129	1165	A10	I18
B07	1130	1166	C10	K18
C07	1131	1167	E10	M18
D07	1132	1168	G10	O18
E07	1133	1161	I10	A18
F07	1134	1162	K10	C18
G07	1135	1163	M10	E18
H07	1136	1164	O10	G18
A08	1225	1261	B09	J17
B08	1226	1262	D09	L17
C08	1227	1263	F09	N17
D08	1228	1264	H09	P17
E08	1229	1257	J09	B17
F08	1230	1258	L09	D17
G08	1231	1259	N09	F17
H08	1232	1260	P09	H17
A09	1137	1173	A12	I20
B09	1138	1174	C12	K20
C09	1139	1175	E12	M20
D09	1140	1176	G12	O20
E09	1141	1169	I12	A20
F09	1142	1170	K12	C20
G09	1143	1171	M12	E20
H09	1144	1172	O12	G20
A10	1001	1037	A01	I09
B10	1002	1038	C01	K09
C10	1003	1039	E01	M09
D10	1004	1040	G01	O09
E10	1005	1033	I01	A09
F10	1006	1034	K01	C09
G10	1007	1035	M01	E09
H10	1008	1036	O01	G09
A11	1329	1365	B12	J20
B11	1330	1366	D12	L20
C11	1331	1367	F12	N20
D11	1332	1368	H12	P20
E11	1333	1361	J12	B20
F11	1334	1362	L12	D20
G11	1335	1363	N12	F20
H11	1336	1364	P12	H20
A12	1257	1293	B17	J02
B12	1258	1294	D17	L02
C12	1259	1295	F17	N02
D12	1260	1296	H17	P02
E12	1261	1289	J17	B02
F12	1262	1290	L17	D02
G12	1263	1291	N17	F02
H12	1264	1292	P17	H02
