#Destpos	P7	P5	P7_pos	P5_pos
A01	1049	1021	A13	I05
B01	1050	1022	C13	K05
C01	1051	1023	E13	M05
D01	1052	1024	G13	O05
E01	1053	1017	I13	A05
F01	1054	1018	K13	C05
G01	1055	1019	M13	E05
H01	1056	1020	O13	G05
A02	1065	1037	A17	I09
B02	1066	1038	C17	K09
C02	1067	1039	E17	M09
D02	1068	1040	G17	O09
E02	1069	1033	I17	A09
F02	1070	1034	K17	C09
G02	1071	1035	M17	E09
H02	1072	1036	O17	G09
A03	1025	1381	A07	J24
B03	1026	1382	C07	L24
C03	1027	1383	E07	N24
D03	1028	1384	G07	P24
E03	1029	1377	I07	B24
F03	1030	1378	K07	D24
G03	1031	1379	M07	F24
H03	1032	1380	O07	H24
A04	1105	1077	A04	I19
B04	1106	1078	C04	K19
C04	1107	1079	E04	M19
D04	1108	1080	G04	O19
E04	1109	1073	I04	A19
F04	1110	1074	K04	C19
G04	1111	1075	M04	E19
H04	1112	1076	O04	G19
A05	1113	1085	A06	I21
B05	1114	1086	C06	K21
C05	1115	1087	E06	M21
D05	1116	1088	G06	O21
E05	1117	1081	I06	A21
F05	1118	1082	K06	C21
G05	1119	1083	M06	E21
H05	1120	1084	O06	G21
A06	1345	1317	B16	J08
B06	1346	1318	D16	L08
C06	1347	1319	F16	N08
D06	1348	1320	H16	P08
E06	1349	1313	J16	B08
F06	1350	1314	L16	D08
G06	1351	1315	N16	F08
H06	1352	1316	P16	H08
A07	1161	1133	A18	I10
B07	1162	1134	C18	K10
C07	1163	1135	E18	M10
D07	1164	1136	G18	O10
E07	1165	1129	I18	A10
F07	1166	1130	K18	C10
G07	1167	1131	M18	E10
H07	1168	1132	O18	G10
A08	1121	1093	A08	I23
B08	1122	1094	C08	K23
C08	1123	1095	E08	M23
D08	1124	1096	G08	O23
E08	1125	1089	I08	A23
F08	1126	1090	K08	C23
G08	1127	1091	M08	E23
H08	1128	1092	O08	G23
A09	1057	1029	A15	I07
B09	1058	1030	C15	K07
C09	1059	1031	E15	M07
D09	1060	1032	G15	O07
E09	1061	1025	I15	A07
F09	1062	1026	K15	C07
G09	1063	1027	M15	E07
H09	1064	1028	O15	G07
A10	1273	1245	B21	J13
B10	1274	1246	D21	L13
C10	1275	1247	F21	N13
D10	1276	1248	H21	P13
E10	1277	1241	J21	B13
F10	1278	1242	L21	D13
G10	1279	1243	N21	F13
H10	1280	1244	P21	H13
A11	1169	1141	A20	I12
B11	1170	1142	C20	K12
C11	1171	1143	E20	M12
D11	1172	1144	G20	O12
E11	1173	1137	I20	A12
F11	1174	1138	K20	C12
G11	1175	1139	M20	E12
H11	1176	1140	O20	G12
A12	1369	1341	B22	J14
B12	1370	1342	D22	L14
C12	1371	1343	F22	N14
D12	1372	1344	H22	P14
E12	1373	1337	J22	B14
F12	1374	1338	L22	D14
G12	1375	1339	N22	F14
H12	1376	1340	P22	H14
