#Destpos	P7	P5	P7_pos	P5_pos
A01	1121	1095	A08	M23
B01	1122	1096	C08	O23
C01	1123	1089	E08	A23
D01	1124	1090	G08	C23
E01	1125	1091	I08	E23
F01	1126	1092	K08	G23
G01	1127	1093	M08	I23
H01	1128	1094	O08	K23
A02	1033	1007	A09	M01
B02	1034	1008	C09	O01
C02	1035	1001	E09	A01
D02	1036	1002	G09	C01
E02	1037	1003	I09	E01
F02	1038	1004	K09	G01
G02	1039	1005	M09	I01
H02	1040	1006	O09	K01
A03	1137	1111	A12	M04
B03	1138	1112	C12	O04
C03	1139	1105	E12	A04
D03	1140	1106	G12	C04
E03	1141	1107	I12	E04
F03	1142	1108	K12	G04
G03	1143	1109	M12	I04
H03	1144	1110	O12	K04
A04	1201	1175	B03	M20
B04	1202	1176	D03	O20
C04	1203	1169	F03	A20
D04	1204	1170	H03	C20
E04	1205	1171	J03	E20
F04	1206	1172	L03	G20
G04	1207	1173	N03	I20
H04	1208	1174	P03	K20
A05	1145	1119	A14	M06
B05	1146	1120	C14	O06
C05	1147	1113	E14	A06
D05	1148	1114	G14	C06
E05	1149	1115	I14	E06
F05	1150	1116	K14	G06
G05	1151	1117	M14	I06
H05	1152	1118	O14	K06
A06	1233	1207	B11	N03
B06	1234	1208	D11	P03
C06	1235	1201	F11	B03
D06	1236	1202	H11	D03
E06	1237	1203	J11	F03
F06	1238	1204	L11	H03
G06	1239	1205	N11	J03
H06	1240	1206	P11	L03
A07	1177	1151	A22	M14
B07	1178	1152	C22	O14
C07	1179	1145	E22	A14
D07	1180	1146	G22	C14
E07	1181	1147	I22	E14
F07	1182	1148	K22	G14
G07	1183	1149	M22	I14
H07	1184	1150	O22	K14
A08	1097	1071	A02	M17
B08	1098	1072	C02	O17
C08	1099	1065	E02	A17
D08	1100	1066	G02	C17
E08	1101	1067	I02	E17
F08	1102	1068	K02	G17
G08	1103	1069	M02	I17
H08	1104	1070	O02	K17
A09	1297	1271	B04	N19
B09	1298	1272	D04	P19
C09	1299	1265	F04	B19
D09	1300	1266	H04	D19
E09	1301	1267	J04	F19
F09	1302	1268	L04	H19
G09	1303	1269	N04	J19
H09	1304	1270	P04	L19
A10	1257	1231	B17	N09
B10	1258	1232	D17	P09
C10	1259	1225	F17	B09
D10	1260	1226	H17	D09
E10	1261	1227	J17	F09
F10	1262	1228	L17	H09
G10	1263	1229	N17	J09
H10	1264	1230	P17	L09
A11	1161	1135	A18	M10
B11	1162	1136	C18	O10
C11	1163	1129	E18	A10
D11	1164	1130	G18	C10
E11	1165	1131	I18	E10
F11	1166	1132	K18	G10
G11	1167	1133	M18	I10
H11	1168	1134	O18	K10
A12	1377	1351	B24	N16
B12	1378	1352	D24	P16
C12	1379	1345	F24	B16
D12	1380	1346	H24	D16
E12	1381	1347	J24	F16
F12	1382	1348	L24	H16
G12	1383	1349	N24	J16
H12	1384	1350	P24	L16
