#Destpos	P7	P5	P7_pos	P5_pos
A01	1089	1253	A23	J15
B01	1090	1254	C23	L15
C01	1091	1255	E23	N15
D01	1092	1256	G23	P15
E01	1093	1249	I23	B15
F01	1094	1250	K23	D15
G01	1095	1251	M23	F15
H01	1096	1252	O23	H15
A02	1353	1133	B18	I10
B02	1354	1134	D18	K10
C02	1355	1135	F18	M10
D02	1356	1136	H18	O10
E02	1357	1129	J18	A10
F02	1358	1130	L18	C10
G02	1359	1131	N18	E10
H02	1360	1132	P18	G10
A03	1241	1021	B13	I05
B03	1242	1022	D13	K05
C03	1243	1023	F13	M05
D03	1244	1024	H13	O05
E03	1245	1017	J13	A05
F03	1246	1018	L13	C05
G03	1247	1019	N13	E05
H03	1248	1020	P13	G05
A04	1345	1125	B16	I08
B04	1346	1126	D16	K08
C04	1347	1127	F16	M08
D04	1348	1128	H16	O08
E04	1349	1121	J16	A08
F04	1350	1122	L16	C08
G04	1351	1123	N16	E08
H04	1352	1124	P16	G08
A05	1121	1285	A08	J23
B05	1122	1286	C08	L23
C05	1123	1287	E08	N23
D05	1124	1288	G08	P23
E05	1125	1281	I08	B23
F05	1126	1282	K08	D23
G05	1127	1283	M08	F23
H05	1128	1284	O08	H23
A06	1169	1333	A20	J12
B06	1170	1334	C20	L12
C06	1171	1335	E20	N12
D06	1172	1336	G20	P12
E06	1173	1329	I20	B12
F06	1174	1330	K20	D12
G06	1175	1331	M20	F12
H06	1176	1332	O20	H12
A07	1025	1189	A07	I24
B07	1026	1190	C07	K24
C07	1027	1191	E07	M24
D07	1028	1192	G07	O24
E07	1029	1185	I07	A24
F07	1030	1186	K07	C24
G07	1031	1187	M07	E24
H07	1032	1188	O07	G24
A08	1081	1245	A21	J13
B08	1082	1246	C21	L13
C08	1083	1247	E21	N13
D08	1084	1248	G21	P13
E08	1085	1241	I21	B13
F08	1086	1242	K21	D13
G08	1087	1243	M21	F13
H08	1088	1244	O21	H13
A09	1129	1293	A10	J02
B09	1130	1294	C10	L02
C09	1131	1295	E10	N02
D09	1132	1296	G10	P02
E09	1133	1289	I10	B02
F09	1134	1290	K10	D02
G09	1135	1291	M10	F02
H09	1136	1292	O10	H02
A10	1313	1093	B08	I23
B10	1314	1094	D08	K23
C10	1315	1095	F08	M23
D10	1316	1096	H08	O23
E10	1317	1089	J08	A23
F10	1318	1090	L08	C23
G10	1319	1091	N08	E23
H10	1320	1092	P08	G23
A11	1273	1053	B21	I13
B11	1274	1054	D21	K13
C11	1275	1055	F21	M13
D11	1276	1056	H21	O13
E11	1277	1049	J21	A13
F11	1278	1050	L21	C13
G11	1279	1051	N21	E13
H11	1280	1052	P21	G13
A12	1305	1085	B06	I21
B12	1306	1086	D06	K21
C12	1307	1087	F06	M21
D12	1308	1088	H06	O21
E12	1309	1081	J06	A21
F12	1310	1082	L06	C21
G12	1311	1083	N06	E21
H12	1312	1084	P06	G21
