#Destpos	P7	P5	P7_pos	P5_pos
A01	1321	1341	B10	J14
B01	1322	1342	D10	L14
C01	1323	1343	F10	N14
D01	1324	1344	H10	P14
E01	1325	1337	J10	B14
F01	1326	1338	L10	D14
G01	1327	1339	N10	F14
H01	1328	1340	P10	H14
A02	1297	1317	B04	J08
B02	1298	1318	D04	L08
C02	1299	1319	F04	N08
D02	1300	1320	H04	P08
E02	1301	1313	J04	B08
F02	1302	1314	L04	D08
G02	1303	1315	N04	F08
H02	1304	1316	P04	H08
A03	1377	1013	B24	I03
B03	1378	1014	D24	K03
C03	1379	1015	F24	M03
D03	1380	1016	H24	O03
E03	1381	1009	J24	A03
F03	1382	1010	L24	C03
G03	1383	1011	N24	E03
H03	1384	1012	P24	G03
A04	1193	1213	B01	J05
B04	1194	1214	D01	L05
C04	1195	1215	F01	N05
D04	1196	1216	H01	P05
E04	1197	1209	J01	B05
F04	1198	1210	L01	D05
G04	1199	1211	N01	F05
H04	1200	1212	P01	H05
A05	1353	1373	B18	J22
B05	1354	1374	D18	L22
C05	1355	1375	F18	N22
D05	1356	1376	H18	P22
E05	1357	1369	J18	B22
F05	1358	1370	L18	D22
G05	1359	1371	N18	F22
H05	1360	1372	P18	H22
A06	1265	1285	B19	J23
B06	1266	1286	D19	L23
C06	1267	1287	F19	N23
D06	1268	1288	H19	P23
E06	1269	1281	J19	B23
F06	1270	1282	L19	D23
G06	1271	1283	N19	F23
H06	1272	1284	P19	H23
A07	1233	1253	B11	J15
B07	1234	1254	D11	L15
C07	1235	1255	F11	N15
D07	1236	1256	H11	P15
E07	1237	1249	J11	B15
F07	1238	1250	L11	D15
G07	1239	1251	N11	F15
H07	1240	1252	P11	H15
A08	1001	1021	A01	I05
B08	1002	1022	C01	K05
C08	1003	1023	E01	M05
D08	1004	1024	G01	O05
E08	1005	1017	I01	A05
F08	1006	1018	K01	C05
G08	1007	1019	M01	E05
H08	1008	1020	O01	G05
A09	1361	1381	B20	J24
B09	1362	1382	D20	L24
C09	1363	1383	F20	N24
D09	1364	1384	H20	P24
E09	1365	1377	J20	B24
F09	1366	1378	L20	D24
G09	1367	1379	N20	F24
H09	1368	1380	P20	H24
A10	1225	1245	B09	J13
B10	1226	1246	D09	L13
C10	1227	1247	F09	N13
D10	1228	1248	H09	P13
E10	1229	1241	J09	B13
F10	1230	1242	L09	D13
G10	1231	1243	N09	F13
H10	1232	1244	P09	H13
A11	1081	1101	A21	I02
B11	1082	1102	C21	K02
C11	1083	1103	E21	M02
D11	1084	1104	G21	O02
E11	1085	1097	I21	A02
F11	1086	1098	K21	C02
G11	1087	1099	M21	E02
H11	1088	1100	O21	G02
A12	1201	1221	B03	J07
B12	1202	1222	D03	L07
C12	1203	1223	F03	N07
D12	1204	1224	H03	P07
E12	1205	1217	J03	B07
F12	1206	1218	L03	D07
G12	1207	1219	N03	F07
H12	1208	1220	P03	H07
