#Destpos	P7	P5	P7_pos	P5_pos
A01	1081	1195	A21	F01
B01	1082	1196	C21	H01
C01	1083	1197	E21	J01
D01	1084	1198	G21	L01
E01	1085	1199	I21	N01
F01	1086	1200	K21	P01
G01	1087	1193	M21	B01
H01	1088	1194	O21	D01
A02	1273	1003	B21	E01
B02	1274	1004	D21	G01
C02	1275	1005	F21	I01
D02	1276	1006	H21	K01
E02	1277	1007	J21	M01
F02	1278	1008	L21	O01
G02	1279	1001	N21	A01
H02	1280	1002	P21	C01
A03	1089	1203	A23	F03
B03	1090	1204	C23	H03
C03	1091	1205	E23	J03
D03	1092	1206	G23	L03
E03	1093	1207	I23	N03
F03	1094	1208	K23	P03
G03	1095	1201	M23	B03
H03	1096	1202	O23	D03
A04	1353	1083	B18	E21
B04	1354	1084	D18	G21
C04	1355	1085	F18	I21
D04	1356	1086	H18	K21
E04	1357	1087	J18	M21
F04	1358	1088	L18	O21
G04	1359	1081	N18	A21
H04	1360	1082	P18	C21
A05	1193	1307	B01	F06
B05	1194	1308	D01	H06
C05	1195	1309	F01	J06
D05	1196	1310	H01	L06
E05	1197	1311	J01	N06
F05	1198	1312	L01	P06
G05	1199	1305	N01	B06
H05	1200	1306	P01	D06
A06	1289	1019	B02	E05
B06	1290	1020	D02	G05
C06	1291	1021	F02	I05
D06	1292	1022	H02	K05
E06	1293	1023	J02	M05
F06	1294	1024	L02	O05
G06	1295	1017	N02	A05
H06	1296	1018	P02	C05
A07	1217	1331	B07	F12
B07	1218	1332	D07	H12
C07	1219	1333	F07	J12
D07	1220	1334	H07	L12
E07	1221	1335	J07	N12
F07	1222	1336	L07	P12
G07	1223	1329	N07	B12
H07	1224	1330	P07	D12
A08	1337	1067	B14	E17
B08	1338	1068	D14	G17
C08	1339	1069	F14	I17
D08	1340	1070	H14	K17
E08	1341	1071	J14	M17
F08	1342	1072	L14	O17
G08	1343	1065	N14	A17
H08	1344	1066	P14	C17
A09	1041	1155	A11	E16
B09	1042	1156	C11	G16
C09	1043	1157	E11	I16
D09	1044	1158	G11	K16
E09	1045	1159	I11	M16
F09	1046	1160	K11	O16
G09	1047	1153	M11	A16
H09	1048	1154	O11	C16
A10	1129	1243	A10	F13
B10	1130	1244	C10	H13
C10	1131	1245	E10	J13
D10	1132	1246	G10	L13
E10	1133	1247	I10	N13
F10	1134	1248	K10	P13
G10	1135	1241	M10	B13
H10	1136	1242	O10	D13
A11	1001	1115	A01	E06
B11	1002	1116	C01	G06
C11	1003	1117	E01	I06
D11	1004	1118	G01	K06
E11	1005	1119	I01	M06
F11	1006	1120	K01	O06
G11	1007	1113	M01	A06
H11	1008	1114	O01	C06
A12	1177	1291	A22	F02
B12	1178	1292	C22	H02
C12	1179	1293	E22	J02
D12	1180	1294	G22	L02
E12	1181	1295	I22	N02
F12	1182	1296	K22	P02
G12	1183	1289	M22	B02
H12	1184	1290	O22	D02
