#Destpos	P7	P5	P7_pos	P5_pos
A01	1297	1359	B04	N18
B01	1298	1360	D04	P18
C01	1299	1353	F04	B18
D01	1300	1354	H04	D18
E01	1301	1355	J04	F18
F01	1302	1356	L04	H18
G01	1303	1357	N04	J18
H01	1304	1358	P04	L18
A02	1145	1207	A14	N03
B02	1146	1208	C14	P03
C02	1147	1201	E14	B03
D02	1148	1202	G14	D03
E02	1149	1203	I14	F03
F02	1150	1204	K14	H03
G02	1151	1205	M14	J03
H02	1152	1206	O14	L03
A03	1025	1087	A07	M21
B03	1026	1088	C07	O21
C03	1027	1081	E07	A21
D03	1028	1082	G07	C21
E03	1029	1083	I07	E21
F03	1030	1084	K07	G21
G03	1031	1085	M07	I21
H03	1032	1086	O07	K21
A04	1137	1199	A12	N01
B04	1138	1200	C12	P01
C04	1139	1193	E12	B01
D04	1140	1194	G12	D01
E04	1141	1195	I12	F01
F04	1142	1196	K12	H01
G04	1143	1197	M12	J01
H04	1144	1198	O12	L01
A05	1289	1351	B02	N16
B05	1290	1352	D02	P16
C05	1291	1345	F02	B16
D05	1292	1346	H02	D16
E05	1293	1347	J02	F16
F05	1294	1348	L02	H16
G05	1295	1349	N02	J16
H05	1296	1350	P02	L16
A06	1073	1135	A19	M10
B06	1074	1136	C19	O10
C06	1075	1129	E19	A10
D06	1076	1130	G19	C10
E06	1077	1131	I19	E10
F06	1078	1132	K19	G10
G06	1079	1133	M19	I10
H06	1080	1134	O19	K10
A07	1081	1143	A21	M12
B07	1082	1144	C21	O12
C07	1083	1137	E21	A12
D07	1084	1138	G21	C12
E07	1085	1139	I21	E12
F07	1086	1140	K21	G12
G07	1087	1141	M21	I12
H07	1088	1142	O21	K12
A08	1257	1319	B17	N08
B08	1258	1320	D17	P08
C08	1259	1313	F17	B08
D08	1260	1314	H17	D08
E08	1261	1315	J17	F08
F08	1262	1316	L17	H08
G08	1263	1317	N17	J08
H08	1264	1318	P17	L08
A09	1065	1127	A17	M08
B09	1066	1128	C17	O08
C09	1067	1121	E17	A08
D09	1068	1122	G17	C08
E09	1069	1123	I17	E08
F09	1070	1124	K17	G08
G09	1071	1125	M17	I08
H09	1072	1126	O17	K08
A10	1121	1183	A08	M22
B10	1122	1184	C08	O22
C10	1123	1177	E08	A22
D10	1124	1178	G08	C22
E10	1125	1179	I08	E22
F10	1126	1180	K08	G22
G10	1127	1181	M08	I22
H10	1128	1182	O08	K22
A11	1377	1055	B24	M13
B11	1378	1056	D24	O13
C11	1379	1049	F24	A13
D11	1380	1050	H24	C13
E11	1381	1051	J24	E13
F11	1382	1052	L24	G13
G11	1383	1053	N24	I13
H11	1384	1054	P24	K13
A12	1321	1383	B10	N24
B12	1322	1384	D10	P24
C12	1323	1377	F10	B24
D12	1324	1378	H10	D24
E12	1325	1379	J10	F24
F12	1326	1380	L10	H24
G12	1327	1381	N10	J24
H12	1328	1382	P10	L24
