#Destpos	P7	P5	P7_pos	P5_pos
A01	1065	1309	A17	J06
B01	1066	1310	C17	L06
C01	1067	1311	E17	N06
D01	1068	1312	G17	P06
E01	1069	1305	I17	B06
F01	1070	1306	K17	D06
G01	1071	1307	M17	F06
H01	1072	1308	O17	H06
A02	1193	1053	B01	I13
B02	1194	1054	D01	K13
C02	1195	1055	F01	M13
D02	1196	1056	H01	O13
E02	1197	1049	J01	A13
F02	1198	1050	L01	C13
G02	1199	1051	N01	E13
H02	1200	1052	P01	G13
A03	1161	1021	A18	I05
B03	1162	1022	C18	K05
C03	1163	1023	E18	M05
D03	1164	1024	G18	O05
E03	1165	1017	I18	A05
F03	1166	1018	K18	C05
G03	1167	1019	M18	E05
H03	1168	1020	O18	G05
A04	1257	1117	B17	I06
B04	1258	1118	D17	K06
C04	1259	1119	F17	M06
D04	1260	1120	H17	O06
E04	1261	1113	J17	A06
F04	1262	1114	L17	C06
G04	1263	1115	N17	E06
H04	1264	1116	P17	G06
A05	1281	1141	B23	I12
B05	1282	1142	D23	K12
C05	1283	1143	F23	M12
D05	1284	1144	H23	O12
E05	1285	1137	J23	A12
F05	1286	1138	L23	C12
G05	1287	1139	N23	E12
H05	1288	1140	P23	G12
A06	1033	1277	A09	J21
B06	1034	1278	C09	L21
C06	1035	1279	E09	N21
D06	1036	1280	G09	P21
E06	1037	1273	I09	B21
F06	1038	1274	K09	D21
G06	1039	1275	M09	F21
H06	1040	1276	O09	H21
A07	1129	1373	A10	J22
B07	1130	1374	C10	L22
C07	1131	1375	E10	N22
D07	1132	1376	G10	P22
E07	1133	1369	I10	B22
F07	1134	1370	K10	D22
G07	1135	1371	M10	F22
H07	1136	1372	O10	H22
A08	1113	1357	A06	J18
B08	1114	1358	C06	L18
C08	1115	1359	E06	N18
D08	1116	1360	G06	P18
E08	1117	1353	I06	B18
F08	1118	1354	K06	D18
G08	1119	1355	M06	F18
H08	1120	1356	O06	H18
A09	1297	1157	B04	I16
B09	1298	1158	D04	K16
C09	1299	1159	F04	M16
D09	1300	1160	H04	O16
E09	1301	1153	J04	A16
F09	1302	1154	L04	C16
G09	1303	1155	N04	E16
H09	1304	1156	P04	G16
A10	1001	1245	A01	J13
B10	1002	1246	C01	L13
C10	1003	1247	E01	N13
D10	1004	1248	G01	P13
E10	1005	1241	I01	B13
F10	1006	1242	K01	D13
G10	1007	1243	M01	F13
H10	1008	1244	O01	H13
A11	1265	1125	B19	I08
B11	1266	1126	D19	K08
C11	1267	1127	F19	M08
D11	1268	1128	H19	O08
E11	1269	1121	J19	A08
F11	1270	1122	L19	C08
G11	1271	1123	N19	E08
H11	1272	1124	P19	G08
A12	1177	1037	A22	I09
B12	1178	1038	C22	K09
C12	1179	1039	E22	M09
D12	1180	1040	G22	O09
E12	1181	1033	I22	A09
F12	1182	1034	K22	C09
G12	1183	1035	M22	E09
H12	1184	1036	O22	G09
