#Destpos	P7	P5	P7_pos	P5_pos
A01	1017	1287	A05	N23
B01	1018	1288	C05	P23
C01	1019	1281	E05	B23
D01	1020	1282	G05	D23
E01	1021	1283	I05	F23
F01	1022	1284	K05	H23
G01	1023	1285	M05	J23
H01	1024	1286	O05	L23
A02	1329	1215	B12	N05
B02	1330	1216	D12	P05
C02	1331	1209	F12	B05
D02	1332	1210	H12	D05
E02	1333	1211	J12	F05
F02	1334	1212	L12	H05
G02	1335	1213	N12	J05
H02	1336	1214	P12	L05
A03	1345	1231	B16	N09
B03	1346	1232	D16	P09
C03	1347	1225	F16	B09
D03	1348	1226	H16	D09
E03	1349	1227	J16	F09
F03	1350	1228	L16	H09
G03	1351	1229	N16	J09
H03	1352	1230	P16	L09
A04	1321	1207	B10	N03
B04	1322	1208	D10	P03
C04	1323	1201	F10	B03
D04	1324	1202	H10	D03
E04	1325	1203	J10	F03
F04	1326	1204	L10	H03
G04	1327	1205	N10	J03
H04	1328	1206	P10	L03
A05	1273	1159	B21	M16
B05	1274	1160	D21	O16
C05	1275	1153	F21	A16
D05	1276	1154	H21	C16
E05	1277	1155	J21	E16
F05	1278	1156	L21	G16
G05	1279	1157	N21	I16
H05	1280	1158	P21	K16
A06	1129	1015	A10	M03
B06	1130	1016	C10	O03
C06	1131	1009	E10	A03
D06	1132	1010	G10	C03
E06	1133	1011	I10	E03
F06	1134	1012	K10	G03
G06	1135	1013	M10	I03
H06	1136	1014	O10	K03
A07	1065	1335	A17	N12
B07	1066	1336	C17	P12
C07	1067	1329	E17	B12
D07	1068	1330	G17	D12
E07	1069	1331	I17	F12
F07	1070	1332	K17	H12
G07	1071	1333	M17	J12
H07	1072	1334	O17	L12
A08	1361	1247	B20	N13
B08	1362	1248	D20	P13
C08	1363	1241	F20	B13
D08	1364	1242	H20	D13
E08	1365	1243	J20	F13
F08	1366	1244	L20	H13
G08	1367	1245	N20	J13
H08	1368	1246	P20	L13
A09	1209	1095	B05	M23
B09	1210	1096	D05	O23
C09	1211	1089	F05	A23
D09	1212	1090	H05	C23
E09	1213	1091	J05	E23
F09	1214	1092	L05	G23
G09	1215	1093	N05	I23
H09	1216	1094	P05	K23
A10	1265	1151	B19	M14
B10	1266	1152	D19	O14
C10	1267	1145	F19	A14
D10	1268	1146	H19	C14
E10	1269	1147	J19	E14
F10	1270	1148	L19	G14
G10	1271	1149	N19	I14
H10	1272	1150	P19	K14
A11	1201	1087	B03	M21
B11	1202	1088	D03	O21
C11	1203	1081	F03	A21
D11	1204	1082	H03	C21
E11	1205	1083	J03	E21
F11	1206	1084	L03	G21
G11	1207	1085	N03	I21
H11	1208	1086	P03	K21
A12	1161	1047	A18	M11
B12	1162	1048	C18	O11
C12	1163	1041	E18	A11
D12	1164	1042	G18	C11
E12	1165	1043	I18	E11
F12	1166	1044	K18	G11
G12	1167	1045	M18	I11
H12	1168	1046	O18	K11
