#Destpos	P7	P5	P7_pos	P5_pos
A01	1217	1203	B07	F03
B01	1218	1204	D07	H03
C01	1219	1205	F07	J03
D01	1220	1206	H07	L03
E01	1221	1207	J07	N03
F01	1222	1208	L07	P03
G01	1223	1201	N07	B03
H01	1224	1202	P07	D03
A02	1377	1363	B24	F20
B02	1378	1364	D24	H20
C02	1379	1365	F24	J20
D02	1380	1366	H24	L20
E02	1381	1367	J24	N20
F02	1382	1368	L24	P20
G02	1383	1361	N24	B20
H02	1384	1362	P24	D20
A03	1177	1163	A22	E18
B03	1178	1164	C22	G18
C03	1179	1165	E22	I18
D03	1180	1166	G22	K18
E03	1181	1167	I22	M18
F03	1182	1168	K22	O18
G03	1183	1161	M22	A18
H03	1184	1162	O22	C18
A04	1137	1123	A12	E08
B04	1138	1124	C12	G08
C04	1139	1125	E12	I08
D04	1140	1126	G12	K08
E04	1141	1127	I12	M08
F04	1142	1128	K12	O08
G04	1143	1121	M12	A08
H04	1144	1122	O12	C08
A05	1369	1355	B22	F18
B05	1370	1356	D22	H18
C05	1371	1357	F22	J18
D05	1372	1358	H22	L18
E05	1373	1359	J22	N18
F05	1374	1360	L22	P18
G05	1375	1353	N22	B18
H05	1376	1354	P22	D18
A06	1361	1347	B20	F16
B06	1362	1348	D20	H16
C06	1363	1349	F20	J16
D06	1364	1350	H20	L16
E06	1365	1351	J20	N16
F06	1366	1352	L20	P16
G06	1367	1345	N20	B16
H06	1368	1346	P20	D16
A07	1089	1075	A23	E19
B07	1090	1076	C23	G19
C07	1091	1077	E23	I19
D07	1092	1078	G23	K19
E07	1093	1079	I23	M19
F07	1094	1080	K23	O19
G07	1095	1073	M23	A19
H07	1096	1074	O23	C19
A08	1017	1003	A05	E01
B08	1018	1004	C05	G01
C08	1019	1005	E05	I01
D08	1020	1006	G05	K01
E08	1021	1007	I05	M01
F08	1022	1008	K05	O01
G08	1023	1001	M05	A01
H08	1024	1002	O05	C01
A09	1289	1275	B02	F21
B09	1290	1276	D02	H21
C09	1291	1277	F02	J21
D09	1292	1278	H02	L21
E09	1293	1279	J02	N21
F09	1294	1280	L02	P21
G09	1295	1273	N02	B21
H09	1296	1274	P02	D21
A10	1033	1019	A09	E05
B10	1034	1020	C09	G05
C10	1035	1021	E09	I05
D10	1036	1022	G09	K05
E10	1037	1023	I09	M05
F10	1038	1024	K09	O05
G10	1039	1017	M09	A05
H10	1040	1018	O09	C05
A11	1009	1379	A03	F24
B11	1010	1380	C03	H24
C11	1011	1381	E03	J24
D11	1012	1382	G03	L24
E11	1013	1383	I03	N24
F11	1014	1384	K03	P24
G11	1015	1377	M03	B24
H11	1016	1378	O03	D24
A12	1001	1371	A01	F22
B12	1002	1372	C01	H22
C12	1003	1373	E01	J22
D12	1004	1374	G01	L22
E12	1005	1375	I01	N22
F12	1006	1376	K01	P22
G12	1007	1369	M01	B22
H12	1008	1370	O01	D22
