#Destpos	P7	P5	P7_pos	P5_pos
A01	1257	1101	B17	I02
B01	1258	1102	D17	K02
C01	1259	1103	F17	M02
D01	1260	1104	H17	O02
E01	1261	1097	J17	A02
F01	1262	1098	L17	C02
G01	1263	1099	N17	E02
H01	1264	1100	P17	G02
A02	1377	1221	B24	J07
B02	1378	1222	D24	L07
C02	1379	1223	F24	N07
D02	1380	1224	H24	P07
E02	1381	1217	J24	B07
F02	1382	1218	L24	D07
G02	1383	1219	N24	F07
H02	1384	1220	P24	H07
A03	1137	1365	A12	J20
B03	1138	1366	C12	L20
C03	1139	1367	E12	N20
D03	1140	1368	G12	P20
E03	1141	1361	I12	B20
F03	1142	1362	K12	D20
G03	1143	1363	M12	F20
H03	1144	1364	O12	H20
A04	1217	1061	B07	I15
B04	1218	1062	D07	K15
C04	1219	1063	F07	M15
D04	1220	1064	H07	O15
E04	1221	1057	J07	A15
F04	1222	1058	L07	C15
G04	1223	1059	N07	E15
H04	1224	1060	P07	G15
A05	1265	1109	B19	I04
B05	1266	1110	D19	K04
C05	1267	1111	F19	M04
D05	1268	1112	H19	O04
E05	1269	1105	J19	A04
F05	1270	1106	L19	C04
G05	1271	1107	N19	E04
H05	1272	1108	P19	G04
A06	1049	1277	A13	J21
B06	1050	1278	C13	L21
C06	1051	1279	E13	N21
D06	1052	1280	G13	P21
E06	1053	1273	I13	B21
F06	1054	1274	K13	D21
G06	1055	1275	M13	F21
H06	1056	1276	O13	H21
A07	1185	1029	A24	I07
B07	1186	1030	C24	K07
C07	1187	1031	E24	M07
D07	1188	1032	G24	O07
E07	1189	1025	I24	A07
F07	1190	1026	K24	C07
G07	1191	1027	M24	E07
H07	1192	1028	O24	G07
A08	1345	1189	B16	I24
B08	1346	1190	D16	K24
C08	1347	1191	F16	M24
D08	1348	1192	H16	O24
E08	1349	1185	J16	A24
F08	1350	1186	L16	C24
G08	1351	1187	N16	E24
H08	1352	1188	P16	G24
A09	1105	1333	A04	J12
B09	1106	1334	C04	L12
C09	1107	1335	E04	N12
D09	1108	1336	G04	P12
E09	1109	1329	I04	B12
F09	1110	1330	K04	D12
G09	1111	1331	M04	F12
H09	1112	1332	O04	H12
A10	1017	1245	A05	J13
B10	1018	1246	C05	L13
C10	1019	1247	E05	N13
D10	1020	1248	G05	P13
E10	1021	1241	I05	B13
F10	1022	1242	K05	D13
G10	1023	1243	M05	F13
H10	1024	1244	O05	H13
A11	1337	1181	B14	I22
B11	1338	1182	D14	K22
C11	1339	1183	F14	M22
D11	1340	1184	H14	O22
E11	1341	1177	J14	A22
F11	1342	1178	L14	C22
G11	1343	1179	N14	E22
H11	1344	1180	P14	G22
A12	1329	1173	B12	I20
B12	1330	1174	D12	K20
C12	1331	1175	F12	M20
D12	1332	1176	H12	O20
E12	1333	1169	J12	A20
F12	1334	1170	L12	C20
G12	1335	1171	N12	E20
H12	1336	1172	P12	G20
