#Destpos	P7	P5	P7_pos	P5_pos
A01	1249	1147	B15	E14
B01	1250	1148	D15	G14
C01	1251	1149	F15	I14
D01	1252	1150	H15	K14
E01	1253	1151	J15	M14
F01	1254	1152	L15	O14
G01	1255	1145	N15	A14
H01	1256	1146	P15	C14
A02	1209	1107	B05	E04
B02	1210	1108	D05	G04
C02	1211	1109	F05	I04
D02	1212	1110	H05	K04
E02	1213	1111	J05	M04
F02	1214	1112	L05	O04
G02	1215	1105	N05	A04
H02	1216	1106	P05	C04
A03	1033	1315	A09	F08
B03	1034	1316	C09	H08
C03	1035	1317	E09	J08
D03	1036	1318	G09	L08
E03	1037	1319	I09	N08
F03	1038	1320	K09	P08
G03	1039	1313	M09	B08
H03	1040	1314	O09	D08
A04	1281	1179	B23	E22
B04	1282	1180	D23	G22
C04	1283	1181	F23	I22
D04	1284	1182	H23	K22
E04	1285	1183	J23	M22
F04	1286	1184	L23	O22
G04	1287	1177	N23	A22
H04	1288	1178	P23	C22
A05	1369	1267	B22	F19
B05	1370	1268	D22	H19
C05	1371	1269	F22	J19
D05	1372	1270	H22	L19
E05	1373	1271	J22	N19
F05	1374	1272	L22	P19
G05	1375	1265	N22	B19
H05	1376	1266	P22	D19
A06	1345	1243	B16	F13
B06	1346	1244	D16	H13
C06	1347	1245	F16	J13
D06	1348	1246	H16	L13
E06	1349	1247	J16	N13
F06	1350	1248	L16	P13
G06	1351	1241	N16	B13
H06	1352	1242	P16	D13
A07	1225	1123	B09	E08
B07	1226	1124	D09	G08
C07	1227	1125	F09	I08
D07	1228	1126	H09	K08
E07	1229	1127	J09	M08
F07	1230	1128	L09	O08
G07	1231	1121	N09	A08
H07	1232	1122	P09	C08
A08	1057	1339	A15	F14
B08	1058	1340	C15	H14
C08	1059	1341	E15	J14
D08	1060	1342	G15	L14
E08	1061	1343	I15	N14
F08	1062	1344	K15	P14
G08	1063	1337	M15	B14
H08	1064	1338	O15	D14
A09	1137	1035	A12	E09
B09	1138	1036	C12	G09
C09	1139	1037	E12	I09
D09	1140	1038	G12	K09
E09	1141	1039	I12	M09
F09	1142	1040	K12	O09
G09	1143	1033	M12	A09
H09	1144	1034	O12	C09
A10	1329	1227	B12	F09
B10	1330	1228	D12	H09
C10	1331	1229	F12	J09
D10	1332	1230	H12	L09
E10	1333	1231	J12	N09
F10	1334	1232	L12	P09
G10	1335	1225	N12	B09
H10	1336	1226	P12	D09
A11	1185	1083	A24	E21
B11	1186	1084	C24	G21
C11	1187	1085	E24	I21
D11	1188	1086	G24	K21
E11	1189	1087	I24	M21
F11	1190	1088	K24	O21
G11	1191	1081	M24	A21
H11	1192	1082	O24	C21
A12	1257	1155	B17	E16
B12	1258	1156	D17	G16
C12	1259	1157	F17	I16
D12	1260	1158	H17	K16
E12	1261	1159	J17	M16
F12	1262	1160	L17	O16
G12	1263	1153	N17	A16
H12	1264	1154	P17	C16
