#Destpos	P7	P5	P7_pos	P5_pos
A01	1041	1091	A11	E23
B01	1042	1092	C11	G23
C01	1043	1093	E11	I23
D01	1044	1094	G11	K23
E01	1045	1095	I11	M23
F01	1046	1096	K11	O23
G01	1047	1089	M11	A23
H01	1048	1090	O11	C23
A02	1329	1379	B12	F24
B02	1330	1380	D12	H24
C02	1331	1381	F12	J24
D02	1332	1382	H12	L24
E02	1333	1383	J12	N24
F02	1334	1384	L12	P24
G02	1335	1377	N12	B24
H02	1336	1378	P12	D24
A03	1017	1067	A05	E17
B03	1018	1068	C05	G17
C03	1019	1069	E05	I17
D03	1020	1070	G05	K17
E03	1021	1071	I05	M17
F03	1022	1072	K05	O17
G03	1023	1065	M05	A17
H03	1024	1066	O05	C17
A04	1025	1075	A07	E19
B04	1026	1076	C07	G19
C04	1027	1077	E07	I19
D04	1028	1078	G07	K19
E04	1029	1079	I07	M19
F04	1030	1080	K07	O19
G04	1031	1073	M07	A19
H04	1032	1074	O07	C19
A05	1049	1099	A13	E02
B05	1050	1100	C13	G02
C05	1051	1101	E13	I02
D05	1052	1102	G13	K02
E05	1053	1103	I13	M02
F05	1054	1104	K13	O02
G05	1055	1097	M13	A02
H05	1056	1098	O13	C02
A06	1169	1219	A20	F07
B06	1170	1220	C20	H07
C06	1171	1221	E20	J07
D06	1172	1222	G20	L07
E06	1173	1223	I20	N07
F06	1174	1224	K20	P07
G06	1175	1217	M20	B07
H06	1176	1218	O20	D07
A07	1097	1147	A02	E14
B07	1098	1148	C02	G14
C07	1099	1149	E02	I14
D07	1100	1150	G02	K14
E07	1101	1151	I02	M14
F07	1102	1152	K02	O14
G07	1103	1145	M02	A14
H07	1104	1146	O02	C14
A08	1273	1323	B21	F10
B08	1274	1324	D21	H10
C08	1275	1325	F21	J10
D08	1276	1326	H21	L10
E08	1277	1327	J21	N10
F08	1278	1328	L21	P10
G08	1279	1321	N21	B10
H08	1280	1322	P21	D10
A09	1377	1043	B24	E11
B09	1378	1044	D24	G11
C09	1379	1045	F24	I11
D09	1380	1046	H24	K11
E09	1381	1047	J24	M11
F09	1382	1048	L24	O11
G09	1383	1041	N24	A11
H09	1384	1042	P24	C11
A10	1009	1059	A03	E15
B10	1010	1060	C03	G15
C10	1011	1061	E03	I15
D10	1012	1062	G03	K15
E10	1013	1063	I03	M15
F10	1014	1064	K03	O15
G10	1015	1057	M03	A15
H10	1016	1058	O03	C15
A11	1129	1179	A10	E22
B11	1130	1180	C10	G22
C11	1131	1181	E10	I22
D11	1132	1182	G10	K22
E11	1133	1183	I10	M22
F11	1134	1184	K10	O22
G11	1135	1177	M10	A22
H11	1136	1178	O10	C22
A12	1217	1267	B07	F19
B12	1218	1268	D07	H19
C12	1219	1269	F07	J19
D12	1220	1270	H07	L19
E12	1221	1271	J07	N19
F12	1222	1272	L07	P19
G12	1223	1265	N07	B19
H12	1224	1266	P07	D19
