#Destpos	P7	P5	P7_pos	P5_pos
A01	1129	1167	A10	M18
B01	1130	1168	C10	O18
C01	1131	1161	E10	A18
D01	1132	1162	G10	C18
E01	1133	1163	I10	E18
F01	1134	1164	K10	G18
G01	1135	1165	M10	I18
H01	1136	1166	O10	K18
A02	1089	1127	A23	M08
B02	1090	1128	C23	O08
C02	1091	1121	E23	A08
D02	1092	1122	G23	C08
E02	1093	1123	I23	E08
F02	1094	1124	K23	G08
G02	1095	1125	M23	I08
H02	1096	1126	O23	K08
A03	1257	1295	B17	N02
B03	1258	1296	D17	P02
C03	1259	1289	F17	B02
D03	1260	1290	H17	D02
E03	1261	1291	J17	F02
F03	1262	1292	L17	H02
G03	1263	1293	N17	J02
H03	1264	1294	P17	L02
A04	1073	1111	A19	M04
B04	1074	1112	C19	O04
C04	1075	1105	E19	A04
D04	1076	1106	G19	C04
E04	1077	1107	I19	E04
F04	1078	1108	K19	G04
G04	1079	1109	M19	I04
H04	1080	1110	O19	K04
A05	1321	1359	B10	N18
B05	1322	1360	D10	P18
C05	1323	1353	F10	B18
D05	1324	1354	H10	D18
E05	1325	1355	J10	F18
F05	1326	1356	L10	H18
G05	1327	1357	N10	J18
H05	1328	1358	P10	L18
A06	1065	1103	A17	M02
B06	1066	1104	C17	O02
C06	1067	1097	E17	A02
D06	1068	1098	G17	C02
E06	1069	1099	I17	E02
F06	1070	1100	K17	G02
G06	1071	1101	M17	I02
H06	1072	1102	O17	K02
A07	1145	1183	A14	M22
B07	1146	1184	C14	O22
C07	1147	1177	E14	A22
D07	1148	1178	G14	C22
E07	1149	1179	I14	E22
F07	1150	1180	K14	G22
G07	1151	1181	M14	I22
H07	1152	1182	O14	K22
A08	1185	1223	A24	N07
B08	1186	1224	C24	P07
C08	1187	1217	E24	B07
D08	1188	1218	G24	D07
E08	1189	1219	I24	F07
F08	1190	1220	K24	H07
G08	1191	1221	M24	J07
H08	1192	1222	O24	L07
A09	1017	1055	A05	M13
B09	1018	1056	C05	O13
C09	1019	1049	E05	A13
D09	1020	1050	G05	C13
E09	1021	1051	I05	E13
F09	1022	1052	K05	G13
G09	1023	1053	M05	I13
H09	1024	1054	O05	K13
A10	1225	1263	B09	N17
B10	1226	1264	D09	P17
C10	1227	1257	F09	B17
D10	1228	1258	H09	D17
E10	1229	1259	J09	F17
F10	1230	1260	L09	H17
G10	1231	1261	N09	J17
H10	1232	1262	P09	L17
A11	1161	1199	A18	N01
B11	1162	1200	C18	P01
C11	1163	1193	E18	B01
D11	1164	1194	G18	D01
E11	1165	1195	I18	F01
F11	1166	1196	K18	H01
G11	1167	1197	M18	J01
H11	1168	1198	O18	L01
A12	1105	1143	A04	M12
B12	1106	1144	C04	O12
C12	1107	1137	E04	A12
D12	1108	1138	G04	C12
E12	1109	1139	I04	E12
F12	1110	1140	K04	G12
G12	1111	1141	M04	I12
H12	1112	1142	O04	K12
