#Destpos	P7	P5	P7_pos	P5_pos
A01	1345	1367	B16	N20
B01	1346	1368	D16	P20
C01	1347	1361	F16	B20
D01	1348	1362	H16	D20
E01	1349	1363	J16	F20
F01	1350	1364	L16	H20
G01	1351	1365	N16	J20
H01	1352	1366	P16	L20
A02	1089	1111	A23	M04
B02	1090	1112	C23	O04
C02	1091	1105	E23	A04
D02	1092	1106	G23	C04
E02	1093	1107	I23	E04
F02	1094	1108	K23	G04
G02	1095	1109	M23	I04
H02	1096	1110	O23	K04
A03	1025	1047	A07	M11
B03	1026	1048	C07	O11
C03	1027	1041	E07	A11
D03	1028	1042	G07	C11
E03	1029	1043	I07	E11
F03	1030	1044	K07	G11
G03	1031	1045	M07	I11
H03	1032	1046	O07	K11
A04	1185	1207	A24	N03
B04	1186	1208	C24	P03
C04	1187	1201	E24	B03
D04	1188	1202	G24	D03
E04	1189	1203	I24	F03
F04	1190	1204	K24	H03
G04	1191	1205	M24	J03
H04	1192	1206	O24	L03
A05	1153	1175	A16	M20
B05	1154	1176	C16	O20
C05	1155	1169	E16	A20
D05	1156	1170	G16	C20
E05	1157	1171	I16	E20
F05	1158	1172	K16	G20
G05	1159	1173	M16	I20
H05	1160	1174	O16	K20
A06	1137	1159	A12	M16
B06	1138	1160	C12	O16
C06	1139	1153	E12	A16
D06	1140	1154	G12	C16
E06	1141	1155	I12	E16
F06	1142	1156	K12	G16
G06	1143	1157	M12	I16
H06	1144	1158	O12	K16
A07	1265	1287	B19	N23
B07	1266	1288	D19	P23
C07	1267	1281	F19	B23
D07	1268	1282	H19	D23
E07	1269	1283	J19	F23
F07	1270	1284	L19	H23
G07	1271	1285	N19	J23
H07	1272	1286	P19	L23
A08	1329	1351	B12	N16
B08	1330	1352	D12	P16
C08	1331	1345	F12	B16
D08	1332	1346	H12	D16
E08	1333	1347	J12	F16
F08	1334	1348	L12	H16
G08	1335	1349	N12	J16
H08	1336	1350	P12	L16
A09	1201	1223	B03	N07
B09	1202	1224	D03	P07
C09	1203	1217	F03	B07
D09	1204	1218	H03	D07
E09	1205	1219	J03	F07
F09	1206	1220	L03	H07
G09	1207	1221	N03	J07
H09	1208	1222	P03	L07
A10	1073	1095	A19	M23
B10	1074	1096	C19	O23
C10	1075	1089	E19	A23
D10	1076	1090	G19	C23
E10	1077	1091	I19	E23
F10	1078	1092	K19	G23
G10	1079	1093	M19	I23
H10	1080	1094	O19	K23
A11	1337	1359	B14	N18
B11	1338	1360	D14	P18
C11	1339	1353	F14	B18
D11	1340	1354	H14	D18
E11	1341	1355	J14	F18
F11	1342	1356	L14	H18
G11	1343	1357	N14	J18
H11	1344	1358	P14	L18
A12	1049	1071	A13	M17
B12	1050	1072	C13	O17
C12	1051	1065	E13	A17
D12	1052	1066	G13	C17
E12	1053	1067	I13	E17
F12	1054	1068	K13	G17
G12	1055	1069	M13	I17
H12	1056	1070	O13	K17
