#Destpos	P7	P5	P7_pos	P5_pos
A01	1089	1005	A23	I01
B01	1090	1006	C23	K01
C01	1091	1007	E23	M01
D01	1092	1008	G23	O01
E01	1093	1001	I23	A01
F01	1094	1002	K23	C01
G01	1095	1003	M23	E01
H01	1096	1004	O23	G01
A02	1041	1341	A11	J14
B02	1042	1342	C11	L14
C02	1043	1343	E11	N14
D02	1044	1344	G11	P14
E02	1045	1337	I11	B14
F02	1046	1338	K11	D14
G02	1047	1339	M11	F14
H02	1048	1340	O11	H14
A03	1345	1261	B16	J17
B03	1346	1262	D16	L17
C03	1347	1263	F16	N17
D03	1348	1264	H16	P17
E03	1349	1257	J16	B17
F03	1350	1258	L16	D17
G03	1351	1259	N16	F17
H03	1352	1260	P16	H17
A04	1313	1229	B08	J09
B04	1314	1230	D08	L09
C04	1315	1231	F08	N09
D04	1316	1232	H08	P09
E04	1317	1225	J08	B09
F04	1318	1226	L08	D09
G04	1319	1227	N08	F09
H04	1320	1228	P08	H09
A05	1185	1101	A24	I02
B05	1186	1102	C24	K02
C05	1187	1103	E24	M02
D05	1188	1104	G24	O02
E05	1189	1097	I24	A02
F05	1190	1098	K24	C02
G05	1191	1099	M24	E02
H05	1192	1100	O24	G02
A06	1001	1301	A01	J04
B06	1002	1302	C01	L04
C06	1003	1303	E01	N04
D06	1004	1304	G01	P04
E06	1005	1297	I01	B04
F06	1006	1298	K01	D04
G06	1007	1299	M01	F04
H06	1008	1300	O01	H04
A07	1081	1381	A21	J24
B07	1082	1382	C21	L24
C07	1083	1383	E21	N24
D07	1084	1384	G21	P24
E07	1085	1377	I21	B24
F07	1086	1378	K21	D24
G07	1087	1379	M21	F24
H07	1088	1380	O21	H24
A08	1137	1053	A12	I13
B08	1138	1054	C12	K13
C08	1139	1055	E12	M13
D08	1140	1056	G12	O13
E08	1141	1049	I12	A13
F08	1142	1050	K12	C13
G08	1143	1051	M12	E13
H08	1144	1052	O12	G13
A09	1009	1309	A03	J06
B09	1010	1310	C03	L06
C09	1011	1311	E03	N06
D09	1012	1312	G03	P06
E09	1013	1305	I03	B06
F09	1014	1306	K03	D06
G09	1015	1307	M03	F06
H09	1016	1308	O03	H06
A10	1177	1093	A22	I23
B10	1178	1094	C22	K23
C10	1179	1095	E22	M23
D10	1180	1096	G22	O23
E10	1181	1089	I22	A23
F10	1182	1090	K22	C23
G10	1183	1091	M22	E23
H10	1184	1092	O22	G23
A11	1169	1085	A20	I21
B11	1170	1086	C20	K21
C11	1171	1087	E20	M21
D11	1172	1088	G20	O21
E11	1173	1081	I20	A21
F11	1174	1082	K20	C21
G11	1175	1083	M20	E21
H11	1176	1084	O20	G21
A12	1161	1077	A18	I19
B12	1162	1078	C18	K19
C12	1163	1079	E18	M19
D12	1164	1080	G18	O19
E12	1165	1073	I18	A19
F12	1166	1074	K18	C19
G12	1167	1075	M18	E19
H12	1168	1076	O18	G19
