#Destpos	P7	P5	P7_pos	P5_pos
A01	1233	1333	B11	J12
B01	1234	1334	D11	L12
C01	1235	1335	F11	N12
D01	1236	1336	H11	P12
E01	1237	1329	J11	B12
F01	1238	1330	L11	D12
G01	1239	1331	N11	F12
H01	1240	1332	P11	H12
A02	1025	1125	A07	I08
B02	1026	1126	C07	K08
C02	1027	1127	E07	M08
D02	1028	1128	G07	O08
E02	1029	1121	I07	A08
F02	1030	1122	K07	C08
G02	1031	1123	M07	E08
H02	1032	1124	O07	G08
A03	1225	1325	B09	J10
B03	1226	1326	D09	L10
C03	1227	1327	F09	N10
D03	1228	1328	H09	P10
E03	1229	1321	J09	B10
F03	1230	1322	L09	D10
G03	1231	1323	N09	F10
H03	1232	1324	P09	H10
A04	1105	1205	A04	J03
B04	1106	1206	C04	L03
C04	1107	1207	E04	N03
D04	1108	1208	G04	P03
E04	1109	1201	I04	B03
F04	1110	1202	K04	D03
G04	1111	1203	M04	F03
H04	1112	1204	O04	H03
A05	1217	1317	B07	J08
B05	1218	1318	D07	L08
C05	1219	1319	F07	N08
D05	1220	1320	H07	P08
E05	1221	1313	J07	B08
F05	1222	1314	L07	D08
G05	1223	1315	N07	F08
H05	1224	1316	P07	H08
A06	1081	1181	A21	I22
B06	1082	1182	C21	K22
C06	1083	1183	E21	M22
D06	1084	1184	G21	O22
E06	1085	1177	I21	A22
F06	1086	1178	K21	C22
G06	1087	1179	M21	E22
H06	1088	1180	O21	G22
A07	1033	1133	A09	I10
B07	1034	1134	C09	K10
C07	1035	1135	E09	M10
D07	1036	1136	G09	O10
E07	1037	1129	I09	A10
F07	1038	1130	K09	C10
G07	1039	1131	M09	E10
H07	1040	1132	O09	G10
A08	1185	1285	A24	J23
B08	1186	1286	C24	L23
C08	1187	1287	E24	N23
D08	1188	1288	G24	P23
E08	1189	1281	I24	B23
F08	1190	1282	K24	D23
G08	1191	1283	M24	F23
H08	1192	1284	O24	H23
A09	1089	1189	A23	I24
B09	1090	1190	C23	K24
C09	1091	1191	E23	M24
D09	1092	1192	G23	O24
E09	1093	1185	I23	A24
F09	1094	1186	K23	C24
G09	1095	1187	M23	E24
H09	1096	1188	O23	G24
A10	1249	1349	B15	J16
B10	1250	1350	D15	L16
C10	1251	1351	F15	N16
D10	1252	1352	H15	P16
E10	1253	1345	J15	B16
F10	1254	1346	L15	D16
G10	1255	1347	N15	F16
H10	1256	1348	P15	H16
A11	1041	1141	A11	I12
B11	1042	1142	C11	K12
C11	1043	1143	E11	M12
D11	1044	1144	G11	O12
E11	1045	1137	I11	A12
F11	1046	1138	K11	C12
G11	1047	1139	M11	E12
H11	1048	1140	O11	G12
A12	1257	1357	B17	J18
B12	1258	1358	D17	L18
C12	1259	1359	F17	N18
D12	1260	1360	H17	P18
E12	1261	1353	J17	B18
F12	1262	1354	L17	D18
G12	1263	1355	N17	F18
H12	1264	1356	P17	H18
