#Destpos	P7	P5	P7_pos	P5_pos
A01	1137	1027	A12	E07
B01	1138	1028	C12	G07
C01	1139	1029	E12	I07
D01	1140	1030	G12	K07
E01	1141	1031	I12	M07
F01	1142	1032	K12	O07
G01	1143	1025	M12	A07
H01	1144	1026	O12	C07
A02	1097	1371	A02	F22
B02	1098	1372	C02	H22
C02	1099	1373	E02	J22
D02	1100	1374	G02	L22
E02	1101	1375	I02	N22
F02	1102	1376	K02	P22
G02	1103	1369	M02	B22
H02	1104	1370	O02	D22
A03	1353	1243	B18	F13
B03	1354	1244	D18	H13
C03	1355	1245	F18	J13
D03	1356	1246	H18	L13
E03	1357	1247	J18	N13
F03	1358	1248	L18	P13
G03	1359	1241	N18	B13
H03	1360	1242	P18	D13
A04	1033	1307	A09	F06
B04	1034	1308	C09	H06
C04	1035	1309	E09	J06
D04	1036	1310	G09	L06
E04	1037	1311	I09	N06
F04	1038	1312	K09	P06
G04	1039	1305	M09	B06
H04	1040	1306	O09	D06
A05	1057	1331	A15	F12
B05	1058	1332	C15	H12
C05	1059	1333	E15	J12
D05	1060	1334	G15	L12
E05	1061	1335	I15	N12
F05	1062	1336	K15	P12
G05	1063	1329	M15	B12
H05	1064	1330	O15	D12
A06	1025	1299	A07	F04
B06	1026	1300	C07	H04
C06	1027	1301	E07	J04
D06	1028	1302	G07	L04
E06	1029	1303	I07	N04
F06	1030	1304	K07	P04
G06	1031	1297	M07	B04
H06	1032	1298	O07	D04
A07	1297	1187	B04	E24
B07	1298	1188	D04	G24
C07	1299	1189	F04	I24
D07	1300	1190	H04	K24
E07	1301	1191	J04	M24
F07	1302	1192	L04	O24
G07	1303	1185	N04	A24
H07	1304	1186	P04	C24
A08	1225	1115	B09	E06
B08	1226	1116	D09	G06
C08	1227	1117	F09	I06
D08	1228	1118	H09	K06
E08	1229	1119	J09	M06
F08	1230	1120	L09	O06
G08	1231	1113	N09	A06
H08	1232	1114	P09	C06
A09	1305	1195	B06	F01
B09	1306	1196	D06	H01
C09	1307	1197	F06	J01
D09	1308	1198	H06	L01
E09	1309	1199	J06	N01
F09	1310	1200	L06	P01
G09	1311	1193	N06	B01
H09	1312	1194	P06	D01
A10	1273	1163	B21	E18
B10	1274	1164	D21	G18
C10	1275	1165	F21	I18
D10	1276	1166	H21	K18
E10	1277	1167	J21	M18
F10	1278	1168	L21	O18
G10	1279	1161	N21	A18
H10	1280	1162	P21	C18
A11	1105	1379	A04	F24
B11	1106	1380	C04	H24
C11	1107	1381	E04	J24
D11	1108	1382	G04	L24
E11	1109	1383	I04	N24
F11	1110	1384	K04	P24
G11	1111	1377	M04	B24
H11	1112	1378	O04	D24
A12	1001	1275	A01	F21
B12	1002	1276	C01	H21
C12	1003	1277	E01	J21
D12	1004	1278	G01	L21
E12	1005	1279	I01	N21
F12	1006	1280	K01	P21
G12	1007	1273	M01	B21
H12	1008	1274	O01	D21
