#Destpos	P7	P5	P7_pos	P5_pos
A01	1281	1349	B23	J16
B01	1282	1350	D23	L16
C01	1283	1351	F23	N16
D01	1284	1352	H23	P16
E01	1285	1345	J23	B16
F01	1286	1346	L23	D16
G01	1287	1347	N23	F16
H01	1288	1348	P23	H16
A02	1097	1165	A02	I18
B02	1098	1166	C02	K18
C02	1099	1167	E02	M18
D02	1100	1168	G02	O18
E02	1101	1161	I02	A18
F02	1102	1162	K02	C18
G02	1103	1163	M02	E18
H02	1104	1164	O02	G18
A03	1057	1125	A15	I08
B03	1058	1126	C15	K08
C03	1059	1127	E15	M08
D03	1060	1128	G15	O08
E03	1061	1121	I15	A08
F03	1062	1122	K15	C08
G03	1063	1123	M15	E08
H03	1064	1124	O15	G08
A04	1265	1333	B19	J12
B04	1266	1334	D19	L12
C04	1267	1335	F19	N12
D04	1268	1336	H19	P12
E04	1269	1329	J19	B12
F04	1270	1330	L19	D12
G04	1271	1331	N19	F12
H04	1272	1332	P19	H12
A05	1289	1357	B02	J18
B05	1290	1358	D02	L18
C05	1291	1359	F02	N18
D05	1292	1360	H02	P18
E05	1293	1353	J02	B18
F05	1294	1354	L02	D18
G05	1295	1355	N02	F18
H05	1296	1356	P02	H18
A06	1305	1373	B06	J22
B06	1306	1374	D06	L22
C06	1307	1375	F06	N22
D06	1308	1376	H06	P22
E06	1309	1369	J06	B22
F06	1310	1370	L06	D22
G06	1311	1371	N06	F22
H06	1312	1372	P06	H22
A07	1017	1085	A05	I21
B07	1018	1086	C05	K21
C07	1019	1087	E05	M21
D07	1020	1088	G05	O21
E07	1021	1081	I05	A21
F07	1022	1082	K05	C21
G07	1023	1083	M05	E21
H07	1024	1084	O05	G21
A08	1353	1037	B18	I09
B08	1354	1038	D18	K09
C08	1355	1039	F18	M09
D08	1356	1040	H18	O09
E08	1357	1033	J18	A09
F08	1358	1034	L18	C09
G08	1359	1035	N18	E09
H08	1360	1036	P18	G09
A09	1145	1213	A14	J05
B09	1146	1214	C14	L05
C09	1147	1215	E14	N05
D09	1148	1216	G14	P05
E09	1149	1209	I14	B05
F09	1150	1210	K14	D05
G09	1151	1211	M14	F05
H09	1152	1212	O14	H05
A10	1321	1005	B10	I01
B10	1322	1006	D10	K01
C10	1323	1007	F10	M01
D10	1324	1008	H10	O01
E10	1325	1001	J10	A01
F10	1326	1002	L10	C01
G10	1327	1003	N10	E01
H10	1328	1004	P10	G01
A11	1025	1093	A07	I23
B11	1026	1094	C07	K23
C11	1027	1095	E07	M23
D11	1028	1096	G07	O23
E11	1029	1089	I07	A23
F11	1030	1090	K07	C23
G11	1031	1091	M07	E23
H11	1032	1092	O07	G23
A12	1129	1197	A10	J01
B12	1130	1198	C10	L01
C12	1131	1199	E10	N01
D12	1132	1200	G10	P01
E12	1133	1193	I10	B01
F12	1134	1194	K10	D01
G12	1135	1195	M10	F01
H12	1136	1196	O10	H01
