#Destpos	P7	P5	P7_pos	P5_pos
A01	1369	1205	B22	J03
B01	1370	1206	D22	L03
C01	1371	1207	F22	N03
D01	1372	1208	H22	P03
E01	1373	1201	J22	B03
F01	1374	1202	L22	D03
G01	1375	1203	N22	F03
H01	1376	1204	P22	H03
A02	1033	1253	A09	J15
B02	1034	1254	C09	L15
C02	1035	1255	E09	N15
D02	1036	1256	G09	P15
E02	1037	1249	I09	B15
F02	1038	1250	K09	D15
G02	1039	1251	M09	F15
H02	1040	1252	O09	H15
A03	1249	1085	B15	I21
B03	1250	1086	D15	K21
C03	1251	1087	F15	M21
D03	1252	1088	H15	O21
E03	1253	1081	J15	A21
F03	1254	1082	L15	C21
G03	1255	1083	N15	E21
H03	1256	1084	P15	G21
A04	1185	1021	A24	I05
B04	1186	1022	C24	K05
C04	1187	1023	E24	M05
D04	1188	1024	G24	O05
E04	1189	1017	I24	A05
F04	1190	1018	K24	C05
G04	1191	1019	M24	E05
H04	1192	1020	O24	G05
A05	1353	1189	B18	I24
B05	1354	1190	D18	K24
C05	1355	1191	F18	M24
D05	1356	1192	H18	O24
E05	1357	1185	J18	A24
F05	1358	1186	L18	C24
G05	1359	1187	N18	E24
H05	1360	1188	P18	G24
A06	1009	1229	A03	J09
B06	1010	1230	C03	L09
C06	1011	1231	E03	N09
D06	1012	1232	G03	P09
E06	1013	1225	I03	B09
F06	1014	1226	K03	D09
G06	1015	1227	M03	F09
H06	1016	1228	O03	H09
A07	1169	1005	A20	I01
B07	1170	1006	C20	K01
C07	1171	1007	E20	M01
D07	1172	1008	G20	O01
E07	1173	1001	I20	A01
F07	1174	1002	K20	C01
G07	1175	1003	M20	E01
H07	1176	1004	O20	G01
A08	1313	1149	B08	I14
B08	1314	1150	D08	K14
C08	1315	1151	F08	M14
D08	1316	1152	H08	O14
E08	1317	1145	J08	A14
F08	1318	1146	L08	C14
G08	1319	1147	N08	E14
H08	1320	1148	P08	G14
A09	1113	1333	A06	J12
B09	1114	1334	C06	L12
C09	1115	1335	E06	N12
D09	1116	1336	G06	P12
E09	1117	1329	I06	B12
F09	1118	1330	K06	D12
G09	1119	1331	M06	F12
H09	1120	1332	O06	H12
A10	1225	1061	B09	I15
B10	1226	1062	D09	K15
C10	1227	1063	F09	M15
D10	1228	1064	H09	O15
E10	1229	1057	J09	A15
F10	1230	1058	L09	C15
G10	1231	1059	N09	E15
H10	1232	1060	P09	G15
A11	1321	1157	B10	I16
B11	1322	1158	D10	K16
C11	1323	1159	F10	M16
D11	1324	1160	H10	O16
E11	1325	1153	J10	A16
F11	1326	1154	L10	C16
G11	1327	1155	N10	E16
H11	1328	1156	P10	G16
A12	1065	1285	A17	J23
B12	1066	1286	C17	L23
C12	1067	1287	E17	N23
D12	1068	1288	G17	P23
E12	1069	1281	I17	B23
F12	1070	1282	K17	D23
G12	1071	1283	M17	F23
H12	1072	1284	O17	H23
