#Destpos	P7	P5	P7_pos	P5_pos
A01	1313	1091	B08	E23
B01	1314	1092	D08	G23
C01	1315	1093	F08	I23
D01	1316	1094	H08	K23
E01	1317	1095	J08	M23
F01	1318	1096	L08	O23
G01	1319	1089	N08	A23
H01	1320	1090	P08	C23
A02	1201	1363	B03	F20
B02	1202	1364	D03	H20
C02	1203	1365	F03	J20
D02	1204	1366	H03	L20
E02	1205	1367	J03	N20
F02	1206	1368	L03	P20
G02	1207	1361	N03	B20
H02	1208	1362	P03	D20
A03	1177	1339	A22	F14
B03	1178	1340	C22	H14
C03	1179	1341	E22	J14
D03	1180	1342	G22	L14
E03	1181	1343	I22	N14
F03	1182	1344	K22	P14
G03	1183	1337	M22	B14
H03	1184	1338	O22	D14
A04	1049	1211	A13	F05
B04	1050	1212	C13	H05
C04	1051	1213	E13	J05
D04	1052	1214	G13	L05
E04	1053	1215	I13	N05
F04	1054	1216	K13	P05
G04	1055	1209	M13	B05
H04	1056	1210	O13	D05
A05	1289	1067	B02	E17
B05	1290	1068	D02	G17
C05	1291	1069	F02	I17
D05	1292	1070	H02	K17
E05	1293	1071	J02	M17
F05	1294	1072	L02	O17
G05	1295	1065	N02	A17
H05	1296	1066	P02	C17
A06	1129	1291	A10	F02
B06	1130	1292	C10	H02
C06	1131	1293	E10	J02
D06	1132	1294	G10	L02
E06	1133	1295	I10	N02
F06	1134	1296	K10	P02
G06	1135	1289	M10	B02
H06	1136	1290	O10	D02
A07	1057	1219	A15	F07
B07	1058	1220	C15	H07
C07	1059	1221	E15	J07
D07	1060	1222	G15	L07
E07	1061	1223	I15	N07
F07	1062	1224	K15	P07
G07	1063	1217	M15	B07
H07	1064	1218	O15	D07
A08	1241	1019	B13	E05
B08	1242	1020	D13	G05
C08	1243	1021	F13	I05
D08	1244	1022	H13	K05
E08	1245	1023	J13	M05
F08	1246	1024	L13	O05
G08	1247	1017	N13	A05
H08	1248	1018	P13	C05
A09	1377	1155	B24	E16
B09	1378	1156	D24	G16
C09	1379	1157	F24	I16
D09	1380	1158	H24	K16
E09	1381	1159	J24	M16
F09	1382	1160	L24	O16
G09	1383	1153	N24	A16
H09	1384	1154	P24	C16
A10	1017	1179	A05	E22
B10	1018	1180	C05	G22
C10	1019	1181	E05	I22
D10	1020	1182	G05	K22
E10	1021	1183	I05	M22
F10	1022	1184	K05	O22
G10	1023	1177	M05	A22
H10	1024	1178	O05	C22
A11	1081	1243	A21	F13
B11	1082	1244	C21	H13
C11	1083	1245	E21	J13
D11	1084	1246	G21	L13
E11	1085	1247	I21	N13
F11	1086	1248	K21	P13
G11	1087	1241	M21	B13
H11	1088	1242	O21	D13
A12	1353	1131	B18	E10
B12	1354	1132	D18	G10
C12	1355	1133	F18	I10
D12	1356	1134	H18	K10
E12	1357	1135	J18	M10
F12	1358	1136	L18	O10
G12	1359	1129	N18	A10
H12	1360	1130	P18	C10
