#Destpos	P7	P5	P7_pos	P5_pos
A01	1121	1357	A08	J18
B01	1122	1358	C08	L18
C01	1123	1359	E08	N18
D01	1124	1360	G08	P18
E01	1125	1353	I08	B18
F01	1126	1354	K08	D18
G01	1127	1355	M08	F18
H01	1128	1356	O08	H18
A02	1065	1301	A17	J04
B02	1066	1302	C17	L04
C02	1067	1303	E17	N04
D02	1068	1304	G17	P04
E02	1069	1297	I17	B04
F02	1070	1298	K17	D04
G02	1071	1299	M17	F04
H02	1072	1300	O17	H04
A03	1049	1285	A13	J23
B03	1050	1286	C13	L23
C03	1051	1287	E13	N23
D03	1052	1288	G13	P23
E03	1053	1281	I13	B23
F03	1054	1282	K13	D23
G03	1055	1283	M13	F23
H03	1056	1284	O13	H23
A04	1185	1037	A24	I09
B04	1186	1038	C24	K09
C04	1187	1039	E24	M09
D04	1188	1040	G24	O09
E04	1189	1033	I24	A09
F04	1190	1034	K24	C09
G04	1191	1035	M24	E09
H04	1192	1036	O24	G09
A05	1201	1053	B03	I13
B05	1202	1054	D03	K13
C05	1203	1055	F03	M13
D05	1204	1056	H03	O13
E05	1205	1049	J03	A13
F05	1206	1050	L03	C13
G05	1207	1051	N03	E13
H05	1208	1052	P03	G13
A06	1361	1213	B20	J05
B06	1362	1214	D20	L05
C06	1363	1215	F20	N05
D06	1364	1216	H20	P05
E06	1365	1209	J20	B05
F06	1366	1210	L20	D05
G06	1367	1211	N20	F05
H06	1368	1212	P20	H05
A07	1257	1109	B17	I04
B07	1258	1110	D17	K04
C07	1259	1111	F17	M04
D07	1260	1112	H17	O04
E07	1261	1105	J17	A04
F07	1262	1106	L17	C04
G07	1263	1107	N17	E04
H07	1264	1108	P17	G04
A08	1073	1309	A19	J06
B08	1074	1310	C19	L06
C08	1075	1311	E19	N06
D08	1076	1312	G19	P06
E08	1077	1305	I19	B06
F08	1078	1306	K19	D06
G08	1079	1307	M19	F06
H08	1080	1308	O19	H06
A09	1105	1341	A04	J14
B09	1106	1342	C04	L14
C09	1107	1343	E04	N14
D09	1108	1344	G04	P14
E09	1109	1337	I04	B14
F09	1110	1338	K04	D14
G09	1111	1339	M04	F14
H09	1112	1340	O04	H14
A10	1153	1005	A16	I01
B10	1154	1006	C16	K01
C10	1155	1007	E16	M01
D10	1156	1008	G16	O01
E10	1157	1001	I16	A01
F10	1158	1002	K16	C01
G10	1159	1003	M16	E01
H10	1160	1004	O16	G01
A11	1137	1373	A12	J22
B11	1138	1374	C12	L22
C11	1139	1375	E12	N22
D11	1140	1376	G12	P22
E11	1141	1369	I12	B22
F11	1142	1370	K12	D22
G11	1143	1371	M12	F22
H11	1144	1372	O12	H22
A12	1281	1133	B23	I10
B12	1282	1134	D23	K10
C12	1283	1135	F23	M10
D12	1284	1136	H23	O10
E12	1285	1129	J23	A10
F12	1286	1130	L23	C10
G12	1287	1131	N23	E10
H12	1288	1132	P23	G10
