#Destpos	P7	P5	P7_pos	P5_pos
A01	1137	1335	A12	N12
B01	1138	1336	C12	P12
C01	1139	1329	E12	B12
D01	1140	1330	G12	D12
E01	1141	1331	I12	F12
F01	1142	1332	K12	H12
G01	1143	1333	M12	J12
H01	1144	1334	O12	L12
A02	1073	1271	A19	N19
B02	1074	1272	C19	P19
C02	1075	1265	E19	B19
D02	1076	1266	G19	D19
E02	1077	1267	I19	F19
F02	1078	1268	K19	H19
G02	1079	1269	M19	J19
H02	1080	1270	O19	L19
A03	1009	1207	A03	N03
B03	1010	1208	C03	P03
C03	1011	1201	E03	B03
D03	1012	1202	G03	D03
E03	1013	1203	I03	F03
F03	1014	1204	K03	H03
G03	1015	1205	M03	J03
H03	1016	1206	O03	L03
A04	1297	1111	B04	M04
B04	1298	1112	D04	O04
C04	1299	1105	F04	A04
D04	1300	1106	H04	C04
E04	1301	1107	J04	E04
F04	1302	1108	L04	G04
G04	1303	1109	N04	I04
H04	1304	1110	P04	K04
A05	1033	1231	A09	N09
B05	1034	1232	C09	P09
C05	1035	1225	E09	B09
D05	1036	1226	G09	D09
E05	1037	1227	I09	F09
F05	1038	1228	K09	H09
G05	1039	1229	M09	J09
H05	1040	1230	O09	L09
A06	1017	1215	A05	N05
B06	1018	1216	C05	P05
C06	1019	1209	E05	B05
D06	1020	1210	G05	D05
E06	1021	1211	I05	F05
F06	1022	1212	K05	H05
G06	1023	1213	M05	J05
H06	1024	1214	O05	L05
A07	1329	1143	B12	M12
B07	1330	1144	D12	O12
C07	1331	1137	F12	A12
D07	1332	1138	H12	C12
E07	1333	1139	J12	E12
F07	1334	1140	L12	G12
G07	1335	1141	N12	I12
H07	1336	1142	P12	K12
A08	1049	1247	A13	N13
B08	1050	1248	C13	P13
C08	1051	1241	E13	B13
D08	1052	1242	G13	D13
E08	1053	1243	I13	F13
F08	1054	1244	K13	H13
G08	1055	1245	M13	J13
H08	1056	1246	O13	L13
A09	1129	1327	A10	N10
B09	1130	1328	C10	P10
C09	1131	1321	E10	B10
D09	1132	1322	G10	D10
E09	1133	1323	I10	F10
F09	1134	1324	K10	H10
G09	1135	1325	M10	J10
H09	1136	1326	O10	L10
A10	1313	1127	B08	M08
B10	1314	1128	D08	O08
C10	1315	1121	F08	A08
D10	1316	1122	H08	C08
E10	1317	1123	J08	E08
F10	1318	1124	L08	G08
G10	1319	1125	N08	I08
H10	1320	1126	P08	K08
A11	1145	1343	A14	N14
B11	1146	1344	C14	P14
C11	1147	1337	E14	B14
D11	1148	1338	G14	D14
E11	1149	1339	I14	F14
F11	1150	1340	K14	H14
G11	1151	1341	M14	J14
H11	1152	1342	O14	L14
A12	1105	1303	A04	N04
B12	1106	1304	C04	P04
C12	1107	1297	E04	B04
D12	1108	1298	G04	D04
E12	1109	1299	I04	F04
F12	1110	1300	K04	H04
G12	1111	1301	M04	J04
H12	1112	1302	O04	L04
