#Destpos	P7	P5	P7_pos	P5_pos
A01	1265	1175	B19	M20
B01	1266	1176	D19	O20
C01	1267	1169	F19	A20
D01	1268	1170	H19	C20
E01	1269	1171	J19	E20
F01	1270	1172	L19	G20
G01	1271	1173	N19	I20
H01	1272	1174	P19	K20
A02	1273	1183	B21	M22
B02	1274	1184	D21	O22
C02	1275	1177	F21	A22
D02	1276	1178	H21	C22
E02	1277	1179	J21	E22
F02	1278	1180	L21	G22
G02	1279	1181	N21	I22
H02	1280	1182	P21	K22
A03	1305	1215	B06	N05
B03	1306	1216	D06	P05
C03	1307	1209	F06	B05
D03	1308	1210	H06	D05
E03	1309	1211	J06	F05
F03	1310	1212	L06	H05
G03	1311	1213	N06	J05
H03	1312	1214	P06	L05
A04	1025	1319	A07	N08
B04	1026	1320	C07	P08
C04	1027	1313	E07	B08
D04	1028	1314	G07	D08
E04	1029	1315	I07	F08
F04	1030	1316	K07	H08
G04	1031	1317	M07	J08
H04	1032	1318	O07	L08
A05	1017	1311	A05	N06
B05	1018	1312	C05	P06
C05	1019	1305	E05	B06
D05	1020	1306	G05	D06
E05	1021	1307	I05	F06
F05	1022	1308	K05	H06
G05	1023	1309	M05	J06
H05	1024	1310	O05	L06
A06	1297	1207	B04	N03
B06	1298	1208	D04	P03
C06	1299	1201	F04	B03
D06	1300	1202	H04	D03
E06	1301	1203	J04	F03
F06	1302	1204	L04	H03
G06	1303	1205	N04	J03
H06	1304	1206	P04	L03
A07	1313	1223	B08	N07
B07	1314	1224	D08	P07
C07	1315	1217	F08	B07
D07	1316	1218	H08	D07
E07	1317	1219	J08	F07
F07	1318	1220	L08	H07
G07	1319	1221	N08	J07
H07	1320	1222	P08	L07
A08	1033	1327	A09	N10
B08	1034	1328	C09	P10
C08	1035	1321	E09	B10
D08	1036	1322	G09	D10
E08	1037	1323	I09	F10
F08	1038	1324	K09	H10
G08	1039	1325	M09	J10
H08	1040	1326	O09	L10
A09	1073	1367	A19	N20
B09	1074	1368	C19	P20
C09	1075	1361	E19	B20
D09	1076	1362	G19	D20
E09	1077	1363	I19	F20
F09	1078	1364	K19	H20
G09	1079	1365	M19	J20
H09	1080	1366	O19	L20
A10	1345	1255	B16	N15
B10	1346	1256	D16	P15
C10	1347	1249	F16	B15
D10	1348	1250	H16	D15
E10	1349	1251	J16	F15
F10	1350	1252	L16	H15
G10	1351	1253	N16	J15
H10	1352	1254	P16	L15
A11	1369	1279	B22	N21
B11	1370	1280	D22	P21
C11	1371	1273	F22	B21
D11	1372	1274	H22	D21
E11	1373	1275	J22	F21
F11	1374	1276	L22	H21
G11	1375	1277	N22	J21
H11	1376	1278	P22	L21
A12	1257	1167	B17	M18
B12	1258	1168	D17	O18
C12	1259	1161	F17	A18
D12	1260	1162	H17	C18
E12	1261	1163	J17	E18
F12	1262	1164	L17	G18
G12	1263	1165	N17	I18
H12	1264	1166	P17	K18
