#Destpos	P7	P5	P7_pos	P5_pos
A01	1017	1275	A05	F21
B01	1018	1276	C05	H21
C01	1019	1277	E05	J21
D01	1020	1278	G05	L21
E01	1021	1279	I05	N21
F01	1022	1280	K05	P21
G01	1023	1273	M05	B21
H01	1024	1274	O05	D21
A02	1345	1219	B16	F07
B02	1346	1220	D16	H07
C02	1347	1221	F16	J07
D02	1348	1222	H16	L07
E02	1349	1223	J16	N07
F02	1350	1224	L16	P07
G02	1351	1217	N16	B07
H02	1352	1218	P16	D07
A03	1185	1059	A24	E15
B03	1186	1060	C24	G15
C03	1187	1061	E24	I15
D03	1188	1062	G24	K15
E03	1189	1063	I24	M15
F03	1190	1064	K24	O15
G03	1191	1057	M24	A15
H03	1192	1058	O24	C15
A04	1161	1035	A18	E09
B04	1162	1036	C18	G09
C04	1163	1037	E18	I09
D04	1164	1038	G18	K09
E04	1165	1039	I18	M09
F04	1166	1040	K18	O09
G04	1167	1033	M18	A09
H04	1168	1034	O18	C09
A05	1305	1179	B06	E22
B05	1306	1180	D06	G22
C05	1307	1181	F06	I22
D05	1308	1182	H06	K22
E05	1309	1183	J06	M22
F05	1310	1184	L06	O22
G05	1311	1177	N06	A22
H05	1312	1178	P06	C22
A06	1217	1091	B07	E23
B06	1218	1092	D07	G23
C06	1219	1093	F07	I23
D06	1220	1094	H07	K23
E06	1221	1095	J07	M23
F06	1222	1096	L07	O23
G06	1223	1089	N07	A23
H06	1224	1090	P07	C23
A07	1081	1339	A21	F14
B07	1082	1340	C21	H14
C07	1083	1341	E21	J14
D07	1084	1342	G21	L14
E07	1085	1343	I21	N14
F07	1086	1344	K21	P14
G07	1087	1337	M21	B14
H07	1088	1338	O21	D14
A08	1097	1355	A02	F18
B08	1098	1356	C02	H18
C08	1099	1357	E02	J18
D08	1100	1358	G02	L18
E08	1101	1359	I02	N18
F08	1102	1360	K02	P18
G08	1103	1353	M02	B18
H08	1104	1354	O02	D18
A09	1105	1363	A04	F20
B09	1106	1364	C04	H20
C09	1107	1365	E04	J20
D09	1108	1366	G04	L20
E09	1109	1367	I04	N20
F09	1110	1368	K04	P20
G09	1111	1361	M04	B20
H09	1112	1362	O04	D20
A10	1353	1227	B18	F09
B10	1354	1228	D18	H09
C10	1355	1229	F18	J09
D10	1356	1230	H18	L09
E10	1357	1231	J18	N09
F10	1358	1232	L18	P09
G10	1359	1225	N18	B09
H10	1360	1226	P18	D09
A11	1145	1019	A14	E05
B11	1146	1020	C14	G05
C11	1147	1021	E14	I05
D11	1148	1022	G14	K05
E11	1149	1023	I14	M05
F11	1150	1024	K14	O05
G11	1151	1017	M14	A05
H11	1152	1018	O14	C05
A12	1377	1251	B24	F15
B12	1378	1252	D24	H15
C12	1379	1253	F24	J15
D12	1380	1254	H24	L15
E12	1381	1255	J24	N15
F12	1382	1256	L24	P15
G12	1383	1249	N24	B15
H12	1384	1250	P24	D15
