#Destpos	P7	P5	P7_pos	P5_pos
A01	1169	1095	A20	M23
B01	1170	1096	C20	O23
C01	1171	1089	E20	A23
D01	1172	1090	G20	C23
E01	1173	1091	I20	E23
F01	1174	1092	K20	G23
G01	1175	1093	M20	I23
H01	1176	1094	O20	K23
A02	1049	1359	A13	N18
B02	1050	1360	C13	P18
C02	1051	1353	E13	B18
D02	1052	1354	G13	D18
E02	1053	1355	I13	F18
F02	1054	1356	K13	H18
G02	1055	1357	M13	J18
H02	1056	1358	O13	L18
A03	1137	1063	A12	M15
B03	1138	1064	C12	O15
C03	1139	1057	E12	A15
D03	1140	1058	G12	C15
E03	1141	1059	I12	E15
F03	1142	1060	K12	G15
G03	1143	1061	M12	I15
H03	1144	1062	O12	K15
A04	1001	1311	A01	N06
B04	1002	1312	C01	P06
C04	1003	1305	E01	B06
D04	1004	1306	G01	D06
E04	1005	1307	I01	F06
F04	1006	1308	K01	H06
G04	1007	1309	M01	J06
H04	1008	1310	O01	L06
A05	1057	1367	A15	N20
B05	1058	1368	C15	P20
C05	1059	1361	E15	B20
D05	1060	1362	G15	D20
E05	1061	1363	I15	F20
F05	1062	1364	K15	H20
G05	1063	1365	M15	J20
H05	1064	1366	O15	L20
A06	1081	1007	A21	M01
B06	1082	1008	C21	O01
C06	1083	1001	E21	A01
D06	1084	1002	G21	C01
E06	1085	1003	I21	E01
F06	1086	1004	K21	G01
G06	1087	1005	M21	I01
H06	1088	1006	O21	K01
A07	1073	1383	A19	N24
B07	1074	1384	C19	P24
C07	1075	1377	E19	B24
D07	1076	1378	G19	D24
E07	1077	1379	I19	F24
F07	1078	1380	K19	H24
G07	1079	1381	M19	J24
H07	1080	1382	O19	L24
A08	1273	1199	B21	N01
B08	1274	1200	D21	P01
C08	1275	1193	F21	B01
D08	1276	1194	H21	D01
E08	1277	1195	J21	F01
F08	1278	1196	L21	H01
G08	1279	1197	N21	J01
H08	1280	1198	P21	L01
A09	1369	1295	B22	N02
B09	1370	1296	D22	P02
C09	1371	1289	F22	B02
D09	1372	1290	H22	D02
E09	1373	1291	J22	F02
F09	1374	1292	L22	H02
G09	1375	1293	N22	J02
H09	1376	1294	P22	L02
A10	1321	1247	B10	N13
B10	1322	1248	D10	P13
C10	1323	1241	F10	B13
D10	1324	1242	H10	D13
E10	1325	1243	J10	F13
F10	1326	1244	L10	H13
G10	1327	1245	N10	J13
H10	1328	1246	P10	L13
A11	1041	1351	A11	N16
B11	1042	1352	C11	P16
C11	1043	1345	E11	B16
D11	1044	1346	G11	D16
E11	1045	1347	I11	F16
F11	1046	1348	K11	H16
G11	1047	1349	M11	J16
H11	1048	1350	O11	L16
A12	1193	1119	B01	M06
B12	1194	1120	D01	O06
C12	1195	1113	F01	A06
D12	1196	1114	H01	C06
E12	1197	1115	J01	E06
F12	1198	1116	L01	G06
G12	1199	1117	N01	I06
H12	1200	1118	P01	K06
