#Destpos	P7	P5	P7_pos	P5_pos
A01	1273	1371	B21	F22
B01	1274	1372	D21	H22
C01	1275	1373	F21	J22
D01	1276	1374	H21	L22
E01	1277	1375	J21	N22
F01	1278	1376	L21	P22
G01	1279	1369	N21	B22
H01	1280	1370	P21	D22
A02	1217	1315	B07	F08
B02	1218	1316	D07	H08
C02	1219	1317	F07	J08
D02	1220	1318	H07	L08
E02	1221	1319	J07	N08
F02	1222	1320	L07	P08
G02	1223	1313	N07	B08
H02	1224	1314	P07	D08
A03	1329	1043	B12	E11
B03	1330	1044	D12	G11
C03	1331	1045	F12	I11
D03	1332	1046	H12	K11
E03	1333	1047	J12	M11
F03	1334	1048	L12	O11
G03	1335	1041	N12	A11
H03	1336	1042	P12	C11
A04	1305	1019	B06	E05
B04	1306	1020	D06	G05
C04	1307	1021	F06	I05
D04	1308	1022	H06	K05
E04	1309	1023	J06	M05
F04	1310	1024	L06	O05
G04	1311	1017	N06	A05
H04	1312	1018	P06	C05
A05	1009	1107	A03	E04
B05	1010	1108	C03	G04
C05	1011	1109	E03	I04
D05	1012	1110	G03	K04
E05	1013	1111	I03	M04
F05	1014	1112	K03	O04
G05	1015	1105	M03	A04
H05	1016	1106	O03	C04
A06	1089	1187	A23	E24
B06	1090	1188	C23	G24
C06	1091	1189	E23	I24
D06	1092	1190	G23	K24
E06	1093	1191	I23	M24
F06	1094	1192	K23	O24
G06	1095	1185	M23	A24
H06	1096	1186	O23	C24
A07	1129	1227	A10	F09
B07	1130	1228	C10	H09
C07	1131	1229	E10	J09
D07	1132	1230	G10	L09
E07	1133	1231	I10	N09
F07	1134	1232	K10	P09
G07	1135	1225	M10	B09
H07	1136	1226	O10	D09
A08	1345	1059	B16	E15
B08	1346	1060	D16	G15
C08	1347	1061	F16	I15
D08	1348	1062	H16	K15
E08	1349	1063	J16	M15
F08	1350	1064	L16	O15
G08	1351	1057	N16	A15
H08	1352	1058	P16	C15
A09	1025	1123	A07	E08
B09	1026	1124	C07	G08
C09	1027	1125	E07	I08
D09	1028	1126	G07	K08
E09	1029	1127	I07	M08
F09	1030	1128	K07	O08
G09	1031	1121	M07	A08
H09	1032	1122	O07	C08
A10	1001	1099	A01	E02
B10	1002	1100	C01	G02
C10	1003	1101	E01	I02
D10	1004	1102	G01	K02
E10	1005	1103	I01	M02
F10	1006	1104	K01	O02
G10	1007	1097	M01	A02
H10	1008	1098	O01	C02
A11	1153	1251	A16	F15
B11	1154	1252	C16	H15
C11	1155	1253	E16	J15
D11	1156	1254	G16	L15
E11	1157	1255	I16	N15
F11	1158	1256	K16	P15
G11	1159	1249	M16	B15
H11	1160	1250	O16	D15
A12	1289	1003	B02	E01
B12	1290	1004	D02	G01
C12	1291	1005	F02	I01
D12	1292	1006	H02	K01
E12	1293	1007	J02	M01
F12	1294	1008	L02	O01
G12	1295	1001	N02	A01
H12	1296	1002	P02	C01
