#Destpos	P7	P5	P7_pos	P5_pos
A01	1361	1379	B20	F24
B01	1362	1380	D20	H24
C01	1363	1381	F20	J24
D01	1364	1382	H20	L24
E01	1365	1383	J20	N24
F01	1366	1384	L20	P24
G01	1367	1377	N20	B24
H01	1368	1378	P20	D24
A02	1121	1139	A08	E12
B02	1122	1140	C08	G12
C02	1123	1141	E08	I12
D02	1124	1142	G08	K12
E02	1125	1143	I08	M12
F02	1126	1144	K08	O12
G02	1127	1137	M08	A12
H02	1128	1138	O08	C12
A03	1353	1371	B18	F22
B03	1354	1372	D18	H22
C03	1355	1373	F18	J22
D03	1356	1374	H18	L22
E03	1357	1375	J18	N22
F03	1358	1376	L18	P22
G03	1359	1369	N18	B22
H03	1360	1370	P18	D22
A04	1217	1235	B07	F11
B04	1218	1236	D07	H11
C04	1219	1237	F07	J11
D04	1220	1238	H07	L11
E04	1221	1239	J07	N11
F04	1222	1240	L07	P11
G04	1223	1233	N07	B11
H04	1224	1234	P07	D11
A05	1129	1147	A10	E14
B05	1130	1148	C10	G14
C05	1131	1149	E10	I14
D05	1132	1150	G10	K14
E05	1133	1151	I10	M14
F05	1134	1152	K10	O14
G05	1135	1145	M10	A14
H05	1136	1146	O10	C14
A06	1137	1155	A12	E16
B06	1138	1156	C12	G16
C06	1139	1157	E12	I16
D06	1140	1158	G12	K16
E06	1141	1159	I12	M16
F06	1142	1160	K12	O16
G06	1143	1153	M12	A16
H06	1144	1154	O12	C16
A07	1369	1003	B22	E01
B07	1370	1004	D22	G01
C07	1371	1005	F22	I01
D07	1372	1006	H22	K01
E07	1373	1007	J22	M01
F07	1374	1008	L22	O01
G07	1375	1001	N22	A01
H07	1376	1002	P22	C01
A08	1297	1315	B04	F08
B08	1298	1316	D04	H08
C08	1299	1317	F04	J08
D08	1300	1318	H04	L08
E08	1301	1319	J04	N08
F08	1302	1320	L04	P08
G08	1303	1313	N04	B08
H08	1304	1314	P04	D08
A09	1177	1195	A22	F01
B09	1178	1196	C22	H01
C09	1179	1197	E22	J01
D09	1180	1198	G22	L01
E09	1181	1199	I22	N01
F09	1182	1200	K22	P01
G09	1183	1193	M22	B01
H09	1184	1194	O22	D01
A10	1225	1243	B09	F13
B10	1226	1244	D09	H13
C10	1227	1245	F09	J13
D10	1228	1246	H09	L13
E10	1229	1247	J09	N13
F10	1230	1248	L09	P13
G10	1231	1241	N09	B13
H10	1232	1242	P09	D13
A11	1281	1299	B23	F04
B11	1282	1300	D23	H04
C11	1283	1301	F23	J04
D11	1284	1302	H23	L04
E11	1285	1303	J23	N04
F11	1286	1304	L23	P04
G11	1287	1297	N23	B04
H11	1288	1298	P23	D04
A12	1249	1267	B15	F19
B12	1250	1268	D15	H19
C12	1251	1269	F15	J19
D12	1252	1270	H15	L19
E12	1253	1271	J15	N19
F12	1254	1272	L15	P19
G12	1255	1265	N15	B19
H12	1256	1266	P15	D19
