#Destpos	P7	P5	P7_pos	P5_pos
A01	1337	1171	B14	E20
B01	1338	1172	D14	G20
C01	1339	1173	F14	I20
D01	1340	1174	H14	K20
E01	1341	1175	J14	M20
F01	1342	1176	L14	O20
G01	1343	1169	N14	A20
H01	1344	1170	P14	C20
A02	1017	1235	A05	F11
B02	1018	1236	C05	H11
C02	1019	1237	E05	J11
D02	1020	1238	G05	L11
E02	1021	1239	I05	N11
F02	1022	1240	K05	P11
G02	1023	1233	M05	B11
H02	1024	1234	O05	D11
A03	1265	1099	B19	E02
B03	1266	1100	D19	G02
C03	1267	1101	F19	I02
D03	1268	1102	H19	K02
E03	1269	1103	J19	M02
F03	1270	1104	L19	O02
G03	1271	1097	N19	A02
H03	1272	1098	P19	C02
A04	1273	1107	B21	E04
B04	1274	1108	D21	G04
C04	1275	1109	F21	I04
D04	1276	1110	H21	K04
E04	1277	1111	J21	M04
F04	1278	1112	L21	O04
G04	1279	1105	N21	A04
H04	1280	1106	P21	C04
A05	1369	1203	B22	F03
B05	1370	1204	D22	H03
C05	1371	1205	F22	J03
D05	1372	1206	H22	L03
E05	1373	1207	J22	N03
F05	1374	1208	L22	P03
G05	1375	1201	N22	B03
H05	1376	1202	P22	D03
A06	1177	1011	A22	E03
B06	1178	1012	C22	G03
C06	1179	1013	E22	I03
D06	1180	1014	G22	K03
E06	1181	1015	I22	M03
F06	1182	1016	K22	O03
G06	1183	1009	M22	A03
H06	1184	1010	O22	C03
A07	1329	1163	B12	E18
B07	1330	1164	D12	G18
C07	1331	1165	F12	I18
D07	1332	1166	H12	K18
E07	1333	1167	J12	M18
F07	1334	1168	L12	O18
G07	1335	1161	N12	A18
H07	1336	1162	P12	C18
A08	1137	1355	A12	F18
B08	1138	1356	C12	H18
C08	1139	1357	E12	J18
D08	1140	1358	G12	L18
E08	1141	1359	I12	N18
F08	1142	1360	K12	P18
G08	1143	1353	M12	B18
H08	1144	1354	O12	D18
A09	1321	1155	B10	E16
B09	1322	1156	D10	G16
C09	1323	1157	F10	I16
D09	1324	1158	H10	K16
E09	1325	1159	J10	M16
F09	1326	1160	L10	O16
G09	1327	1153	N10	A16
H09	1328	1154	P10	C16
A10	1209	1043	B05	E11
B10	1210	1044	D05	G11
C10	1211	1045	F05	I11
D10	1212	1046	H05	K11
E10	1213	1047	J05	M11
F10	1214	1048	L05	O11
G10	1215	1041	N05	A11
H10	1216	1042	P05	C11
A11	1281	1115	B23	E06
B11	1282	1116	D23	G06
C11	1283	1117	F23	I06
D11	1284	1118	H23	K06
E11	1285	1119	J23	M06
F11	1286	1120	L23	O06
G11	1287	1113	N23	A06
H11	1288	1114	P23	C06
A12	1353	1187	B18	E24
B12	1354	1188	D18	G24
C12	1355	1189	F18	I24
D12	1356	1190	H18	K24
E12	1357	1191	J18	M24
F12	1358	1192	L18	O24
G12	1359	1185	N18	A24
H12	1360	1186	P18	C24
