#Destpos	P7	P5	P7_pos	P5_pos
A01	1337	1219	B14	F07
B01	1338	1220	D14	H07
C01	1339	1221	F14	J07
D01	1340	1222	H14	L07
E01	1341	1223	J14	N07
F01	1342	1224	L14	P07
G01	1343	1217	N14	B07
H01	1344	1218	P14	D07
A02	1193	1075	B01	E19
B02	1194	1076	D01	G19
C02	1195	1077	F01	I19
D02	1196	1078	H01	K19
E02	1197	1079	J01	M19
F02	1198	1080	L01	O19
G02	1199	1073	N01	A19
H02	1200	1074	P01	C19
A03	1297	1179	B04	E22
B03	1298	1180	D04	G22
C03	1299	1181	F04	I22
D03	1300	1182	H04	K22
E03	1301	1183	J04	M22
F03	1302	1184	L04	O22
G03	1303	1177	N04	A22
H03	1304	1178	P04	C22
A04	1369	1251	B22	F15
B04	1370	1252	D22	H15
C04	1371	1253	F22	J15
D04	1372	1254	H22	L15
E04	1373	1255	J22	N15
F04	1374	1256	L22	P15
G04	1375	1249	N22	B15
H04	1376	1250	P22	D15
A05	1041	1307	A11	F06
B05	1042	1308	C11	H06
C05	1043	1309	E11	J06
D05	1044	1310	G11	L06
E05	1045	1311	I11	N06
F05	1046	1312	K11	P06
G05	1047	1305	M11	B06
H05	1048	1306	O11	D06
A06	1353	1235	B18	F11
B06	1354	1236	D18	H11
C06	1355	1237	F18	J11
D06	1356	1238	H18	L11
E06	1357	1239	J18	N11
F06	1358	1240	L18	P11
G06	1359	1233	N18	B11
H06	1360	1234	P18	D11
A07	1177	1059	A22	E15
B07	1178	1060	C22	G15
C07	1179	1061	E22	I15
D07	1180	1062	G22	K15
E07	1181	1063	I22	M15
F07	1182	1064	K22	O15
G07	1183	1057	M22	A15
H07	1184	1058	O22	C15
A08	1001	1267	A01	F19
B08	1002	1268	C01	H19
C08	1003	1269	E01	J19
D08	1004	1270	G01	L19
E08	1005	1271	I01	N19
F08	1006	1272	K01	P19
G08	1007	1265	M01	B19
H08	1008	1266	O01	D19
A09	1249	1131	B15	E10
B09	1250	1132	D15	G10
C09	1251	1133	F15	I10
D09	1252	1134	H15	K10
E09	1253	1135	J15	M10
F09	1254	1136	L15	O10
G09	1255	1129	N15	A10
H09	1256	1130	P15	C10
A10	1009	1275	A03	F21
B10	1010	1276	C03	H21
C10	1011	1277	E03	J21
D10	1012	1278	G03	L21
E10	1013	1279	I03	N21
F10	1014	1280	K03	P21
G10	1015	1273	M03	B21
H10	1016	1274	O03	D21
A11	1097	1363	A02	F20
B11	1098	1364	C02	H20
C11	1099	1365	E02	J20
D11	1100	1366	G02	L20
E11	1101	1367	I02	N20
F11	1102	1368	K02	P20
G11	1103	1361	M02	B20
H11	1104	1362	O02	D20
A12	1121	1003	A08	E01
B12	1122	1004	C08	G01
C12	1123	1005	E08	I01
D12	1124	1006	G08	K01
E12	1125	1007	I08	M01
F12	1126	1008	K08	O01
G12	1127	1001	M08	A01
H12	1128	1002	O08	C01
