#Destpos	P7	P5	P7_pos	P5_pos
A01	1089	1229	A23	J09
B01	1090	1230	C23	L09
C01	1091	1231	E23	N09
D01	1092	1232	G23	P09
E01	1093	1225	I23	B09
F01	1094	1226	K23	D09
G01	1095	1227	M23	F09
H01	1096	1228	O23	H09
A02	1057	1197	A15	J01
B02	1058	1198	C15	L01
C02	1059	1199	E15	N01
D02	1060	1200	G15	P01
E02	1061	1193	I15	B01
F02	1062	1194	K15	D01
G02	1063	1195	M15	F01
H02	1064	1196	O15	H01
A03	1313	1069	B08	I17
B03	1314	1070	D08	K17
C03	1315	1071	F08	M17
D03	1316	1072	H08	O17
E03	1317	1065	J08	A17
F03	1318	1066	L08	C17
G03	1319	1067	N08	E17
H03	1320	1068	P08	G17
A04	1273	1029	B21	I07
B04	1274	1030	D21	K07
C04	1275	1031	F21	M07
D04	1276	1032	H21	O07
E04	1277	1025	J21	A07
F04	1278	1026	L21	C07
G04	1279	1027	N21	E07
H04	1280	1028	P21	G07
A05	1169	1309	A20	J06
B05	1170	1310	C20	L06
C05	1171	1311	E20	N06
D05	1172	1312	G20	P06
E05	1173	1305	I20	B06
F05	1174	1306	K20	D06
G05	1175	1307	M20	F06
H05	1176	1308	O20	H06
A06	1073	1213	A19	J05
B06	1074	1214	C19	L05
C06	1075	1215	E19	N05
D06	1076	1216	G19	P05
E06	1077	1209	I19	B05
F06	1078	1210	K19	D05
G06	1079	1211	M19	F05
H06	1080	1212	O19	H05
A07	1017	1157	A05	I16
B07	1018	1158	C05	K16
C07	1019	1159	E05	M16
D07	1020	1160	G05	O16
E07	1021	1153	I05	A16
F07	1022	1154	K05	C16
G07	1023	1155	M05	E16
H07	1024	1156	O05	G16
A08	1161	1301	A18	J04
B08	1162	1302	C18	L04
C08	1163	1303	E18	N04
D08	1164	1304	G18	P04
E08	1165	1297	I18	B04
F08	1166	1298	K18	D04
G08	1167	1299	M18	F04
H08	1168	1300	O18	H04
A09	1201	1341	B03	J14
B09	1202	1342	D03	L14
C09	1203	1343	F03	N14
D09	1204	1344	H03	P14
E09	1205	1337	J03	B14
F09	1206	1338	L03	D14
G09	1207	1339	N03	F14
H09	1208	1340	P03	H14
A10	1305	1061	B06	I15
B10	1306	1062	D06	K15
C10	1307	1063	F06	M15
D10	1308	1064	H06	O15
E10	1309	1057	J06	A15
F10	1310	1058	L06	C15
G10	1311	1059	N06	E15
H10	1312	1060	P06	G15
A11	1185	1325	A24	J10
B11	1186	1326	C24	L10
C11	1187	1327	E24	N10
D11	1188	1328	G24	P10
E11	1189	1321	I24	B10
F11	1190	1322	K24	D10
G11	1191	1323	M24	F10
H11	1192	1324	O24	H10
A12	1329	1085	B12	I21
B12	1330	1086	D12	K21
C12	1331	1087	F12	M21
D12	1332	1088	H12	O21
E12	1333	1081	J12	A21
F12	1334	1082	L12	C21
G12	1335	1083	N12	E21
H12	1336	1084	P12	G21
