#Destpos	P7	P5	P7_pos	P5_pos
A01	1361	1037	B20	I09
B01	1362	1038	D20	K09
C01	1363	1039	F20	M09
D01	1364	1040	H20	O09
E01	1365	1033	J20	A09
F01	1366	1034	L20	C09
G01	1367	1035	N20	E09
H01	1368	1036	P20	G09
A02	1201	1261	B03	J17
B02	1202	1262	D03	L17
C02	1203	1263	F03	N17
D02	1204	1264	H03	P17
E02	1205	1257	J03	B17
F02	1206	1258	L03	D17
G02	1207	1259	N03	F17
H02	1208	1260	P03	H17
A03	1041	1101	A11	I02
B03	1042	1102	C11	K02
C03	1043	1103	E11	M02
D03	1044	1104	G11	O02
E03	1045	1097	I11	A02
F03	1046	1098	K11	C02
G03	1047	1099	M11	E02
H03	1048	1100	O11	G02
A04	1297	1357	B04	J18
B04	1298	1358	D04	L18
C04	1299	1359	F04	N18
D04	1300	1360	H04	P18
E04	1301	1353	J04	B18
F04	1302	1354	L04	D18
G04	1303	1355	N04	F18
H04	1304	1356	P04	H18
A05	1273	1333	B21	J12
B05	1274	1334	D21	L12
C05	1275	1335	F21	N12
D05	1276	1336	H21	P12
E05	1277	1329	J21	B12
F05	1278	1330	L21	D12
G05	1279	1331	N21	F12
H05	1280	1332	P21	H12
A06	1065	1125	A17	I08
B06	1066	1126	C17	K08
C06	1067	1127	E17	M08
D06	1068	1128	G17	O08
E06	1069	1121	I17	A08
F06	1070	1122	K17	C08
G06	1071	1123	M17	E08
H06	1072	1124	O17	G08
A07	1081	1141	A21	I12
B07	1082	1142	C21	K12
C07	1083	1143	E21	M12
D07	1084	1144	G21	O12
E07	1085	1137	I21	A12
F07	1086	1138	K21	C12
G07	1087	1139	M21	E12
H07	1088	1140	O21	G12
A08	1289	1349	B02	J16
B08	1290	1350	D02	L16
C08	1291	1351	F02	N16
D08	1292	1352	H02	P16
E08	1293	1345	J02	B16
F08	1294	1346	L02	D16
G08	1295	1347	N02	F16
H08	1296	1348	P02	H16
A09	1089	1149	A23	I14
B09	1090	1150	C23	K14
C09	1091	1151	E23	M14
D09	1092	1152	G23	O14
E09	1093	1145	I23	A14
F09	1094	1146	K23	C14
G09	1095	1147	M23	E14
H09	1096	1148	O23	G14
A10	1009	1069	A03	I17
B10	1010	1070	C03	K17
C10	1011	1071	E03	M17
D10	1012	1072	G03	O17
E10	1013	1065	I03	A17
F10	1014	1066	K03	C17
G10	1015	1067	M03	E17
H10	1016	1068	O03	G17
A11	1113	1173	A06	I20
B11	1114	1174	C06	K20
C11	1115	1175	E06	M20
D11	1116	1176	G06	O20
E11	1117	1169	I06	A20
F11	1118	1170	K06	C20
G11	1119	1171	M06	E20
H11	1120	1172	O06	G20
A12	1241	1301	B13	J04
B12	1242	1302	D13	L04
C12	1243	1303	F13	N04
D12	1244	1304	H13	P04
E12	1245	1297	J13	B04
F12	1246	1298	L13	D04
G12	1247	1299	N13	F04
H12	1248	1300	P13	H04
