#Destpos	P7	P5	P7_pos	P5_pos
A01	1305	1007	B06	M01
B01	1306	1008	D06	O01
C01	1307	1001	F06	A01
D01	1308	1002	H06	C01
E01	1309	1003	J06	E01
F01	1310	1004	L06	G01
G01	1311	1005	N06	I01
H01	1312	1006	P06	K01
A02	1073	1159	A19	M16
B02	1074	1160	C19	O16
C02	1075	1153	E19	A16
D02	1076	1154	G19	C16
E02	1077	1155	I19	E16
F02	1078	1156	K19	G16
G02	1079	1157	M19	I16
H02	1080	1158	O19	K16
A03	1097	1183	A02	M22
B03	1098	1184	C02	O22
C03	1099	1177	E02	A22
D03	1100	1178	G02	C22
E03	1101	1179	I02	E22
F03	1102	1180	K02	G22
G03	1103	1181	M02	I22
H03	1104	1182	O02	K22
A04	1369	1071	B22	M17
B04	1370	1072	D22	O17
C04	1371	1065	F22	A17
D04	1372	1066	H22	C17
E04	1373	1067	J22	E17
F04	1374	1068	L22	G17
G04	1375	1069	N22	I17
H04	1376	1070	P22	K17
A05	1209	1295	B05	N02
B05	1210	1296	D05	P02
C05	1211	1289	F05	B02
D05	1212	1290	H05	D02
E05	1213	1291	J05	F02
F05	1214	1292	L05	H02
G05	1215	1293	N05	J02
H05	1216	1294	P05	L02
A06	1145	1231	A14	N09
B06	1146	1232	C14	P09
C06	1147	1225	E14	B09
D06	1148	1226	G14	D09
E06	1149	1227	I14	F09
F06	1150	1228	K14	H09
G06	1151	1229	M14	J09
H06	1152	1230	O14	L09
A07	1121	1207	A08	N03
B07	1122	1208	C08	P03
C07	1123	1201	E08	B03
D07	1124	1202	G08	D03
E07	1125	1203	I08	F03
F07	1126	1204	K08	H03
G07	1127	1205	M08	J03
H07	1128	1206	O08	L03
A08	1057	1143	A15	M12
B08	1058	1144	C15	O12
C08	1059	1137	E15	A12
D08	1060	1138	G15	C12
E08	1061	1139	I15	E12
F08	1062	1140	K15	G12
G08	1063	1141	M15	I12
H08	1064	1142	O15	K12
A09	1353	1055	B18	M13
B09	1354	1056	D18	O13
C09	1355	1049	F18	A13
D09	1356	1050	H18	C13
E09	1357	1051	J18	E13
F09	1358	1052	L18	G13
G09	1359	1053	N18	I13
H09	1360	1054	P18	K13
A10	1033	1119	A09	M06
B10	1034	1120	C09	O06
C10	1035	1113	E09	A06
D10	1036	1114	G09	C06
E10	1037	1115	I09	E06
F10	1038	1116	K09	G06
G10	1039	1117	M09	I06
H10	1040	1118	O09	K06
A11	1377	1079	B24	M19
B11	1378	1080	D24	O19
C11	1379	1073	F24	A19
D11	1380	1074	H24	C19
E11	1381	1075	J24	E19
F11	1382	1076	L24	G19
G11	1383	1077	N24	I19
H11	1384	1078	P24	K19
A12	1225	1311	B09	N06
B12	1226	1312	D09	P06
C12	1227	1305	F09	B06
D12	1228	1306	H09	D06
E12	1229	1307	J09	F06
F12	1230	1308	L09	H06
G12	1231	1309	N09	J06
H12	1232	1310	P09	L06
