#Destpos	P7	P5	P7_pos	P5_pos
A01	1369	1123	B22	E08
B01	1370	1124	D22	G08
C01	1371	1125	F22	I08
D01	1372	1126	H22	K08
E01	1373	1127	J22	M08
F01	1374	1128	L22	O08
G01	1375	1121	N22	A08
H01	1376	1122	P22	C08
A02	1345	1099	B16	E02
B02	1346	1100	D16	G02
C02	1347	1101	F16	I02
D02	1348	1102	H16	K02
E02	1349	1103	J16	M02
F02	1350	1104	L16	O02
G02	1351	1097	N16	A02
H02	1352	1098	P16	C02
A03	1185	1323	A24	F10
B03	1186	1324	C24	H10
C03	1187	1325	E24	J10
D03	1188	1326	G24	L10
E03	1189	1327	I24	N10
F03	1190	1328	K24	P10
G03	1191	1321	M24	B10
H03	1192	1322	O24	D10
A04	1209	1347	B05	F16
B04	1210	1348	D05	H16
C04	1211	1349	F05	J16
D04	1212	1350	H05	L16
E04	1213	1351	J05	N16
F04	1214	1352	L05	P16
G04	1215	1345	N05	B16
H04	1216	1346	P05	D16
A05	1145	1283	A14	F23
B05	1146	1284	C14	H23
C05	1147	1285	E14	J23
D05	1148	1286	G14	L23
E05	1149	1287	I14	N23
F05	1150	1288	K14	P23
G05	1151	1281	M14	B23
H05	1152	1282	O14	D23
A06	1113	1251	A06	F15
B06	1114	1252	C06	H15
C06	1115	1253	E06	J15
D06	1116	1254	G06	L15
E06	1117	1255	I06	N15
F06	1118	1256	K06	P15
G06	1119	1249	M06	B15
H06	1120	1250	O06	D15
A07	1273	1027	B21	E07
B07	1274	1028	D21	G07
C07	1275	1029	F21	I07
D07	1276	1030	H21	K07
E07	1277	1031	J21	M07
F07	1278	1032	L21	O07
G07	1279	1025	N21	A07
H07	1280	1026	P21	C07
A08	1201	1339	B03	F14
B08	1202	1340	D03	H14
C08	1203	1341	F03	J14
D08	1204	1342	H03	L14
E08	1205	1343	J03	N14
F08	1206	1344	L03	P14
G08	1207	1337	N03	B14
H08	1208	1338	P03	D14
A09	1017	1155	A05	E16
B09	1018	1156	C05	G16
C09	1019	1157	E05	I16
D09	1020	1158	G05	K16
E09	1021	1159	I05	M16
F09	1022	1160	K05	O16
G09	1023	1153	M05	A16
H09	1024	1154	O05	C16
A10	1329	1083	B12	E21
B10	1330	1084	D12	G21
C10	1331	1085	F12	I21
D10	1332	1086	H12	K21
E10	1333	1087	J12	M21
F10	1334	1088	L12	O21
G10	1335	1081	N12	A21
H10	1336	1082	P12	C21
A11	1361	1115	B20	E06
B11	1362	1116	D20	G06
C11	1363	1117	F20	I06
D11	1364	1118	H20	K06
E11	1365	1119	J20	M06
F11	1366	1120	L20	O06
G11	1367	1113	N20	A06
H11	1368	1114	P20	C06
A12	1321	1075	B10	E19
B12	1322	1076	D10	G19
C12	1323	1077	F10	I19
D12	1324	1078	H10	K19
E12	1325	1079	J10	M19
F12	1326	1080	L10	O19
G12	1327	1073	N10	A19
H12	1328	1074	P10	C19
