#Destpos	P7	P5	P7_pos	P5_pos
A01	1273	1189	B21	I24
B01	1274	1190	D21	K24
C01	1275	1191	F21	M24
D01	1276	1192	H21	O24
E01	1277	1185	J21	A24
F01	1278	1186	L21	C24
G01	1279	1187	N21	E24
H01	1280	1188	P21	G24
A02	1233	1149	B11	I14
B02	1234	1150	D11	K14
C02	1235	1151	F11	M14
D02	1236	1152	H11	O14
E02	1237	1145	J11	A14
F02	1238	1146	L11	C14
G02	1239	1147	N11	E14
H02	1240	1148	P11	G14
A03	1257	1173	B17	I20
B03	1258	1174	D17	K20
C03	1259	1175	F17	M20
D03	1260	1176	H17	O20
E03	1261	1169	J17	A20
F03	1262	1170	L17	C20
G03	1263	1171	N17	E20
H03	1264	1172	P17	G20
A04	1225	1141	B09	I12
B04	1226	1142	D09	K12
C04	1227	1143	F09	M12
D04	1228	1144	H09	O12
E04	1229	1137	J09	A12
F04	1230	1138	L09	C12
G04	1231	1139	N09	E12
H04	1232	1140	P09	G12
A05	1353	1269	B18	J19
B05	1354	1270	D18	L19
C05	1355	1271	F18	N19
D05	1356	1272	H18	P19
E05	1357	1265	J18	B19
F05	1358	1266	L18	D19
G05	1359	1267	N18	F19
H05	1360	1268	P18	H19
A06	1337	1253	B14	J15
B06	1338	1254	D14	L15
C06	1339	1255	F14	N15
D06	1340	1256	H14	P15
E06	1341	1249	J14	B15
F06	1342	1250	L14	D15
G06	1343	1251	N14	F15
H06	1344	1252	P14	H15
A07	1201	1117	B03	I06
B07	1202	1118	D03	K06
C07	1203	1119	F03	M06
D07	1204	1120	H03	O06
E07	1205	1113	J03	A06
F07	1206	1114	L03	C06
G07	1207	1115	N03	E06
H07	1208	1116	P03	G06
A08	1073	1373	A19	J22
B08	1074	1374	C19	L22
C08	1075	1375	E19	N22
D08	1076	1376	G19	P22
E08	1077	1369	I19	B22
F08	1078	1370	K19	D22
G08	1079	1371	M19	F22
H08	1080	1372	O19	H22
A09	1329	1245	B12	J13
B09	1330	1246	D12	L13
C09	1331	1247	F12	N13
D09	1332	1248	H12	P13
E09	1333	1241	J12	B13
F09	1334	1242	L12	D13
G09	1335	1243	N12	F13
H09	1336	1244	P12	H13
A10	1377	1293	B24	J02
B10	1378	1294	D24	L02
C10	1379	1295	F24	N02
D10	1380	1296	H24	P02
E10	1381	1289	J24	B02
F10	1382	1290	L24	D02
G10	1383	1291	N24	F02
H10	1384	1292	P24	H02
A11	1113	1029	A06	I07
B11	1114	1030	C06	K07
C11	1115	1031	E06	M07
D11	1116	1032	G06	O07
E11	1117	1025	I06	A07
F11	1118	1026	K06	C07
G11	1119	1027	M06	E07
H11	1120	1028	O06	G07
A12	1321	1237	B10	J11
B12	1322	1238	D10	L11
C12	1323	1239	F10	N11
D12	1324	1240	H10	P11
E12	1325	1233	J10	B11
F12	1326	1234	L10	D11
G12	1327	1235	N10	F11
H12	1328	1236	P10	H11
