#Destpos	P7	P5	P7_pos	P5_pos
A01	1161	1283	A18	F23
B01	1162	1284	C18	H23
C01	1163	1285	E18	J23
D01	1164	1286	G18	L23
E01	1165	1287	I18	N23
F01	1166	1288	K18	P23
G01	1167	1281	M18	B23
H01	1168	1282	O18	D23
A02	1121	1243	A08	F13
B02	1122	1244	C08	H13
C02	1123	1245	E08	J13
D02	1124	1246	G08	L13
E02	1125	1247	I08	N13
F02	1126	1248	K08	P13
G02	1127	1241	M08	B13
H02	1128	1242	O08	D13
A03	1329	1067	B12	E17
B03	1330	1068	D12	G17
C03	1331	1069	F12	I17
D03	1332	1070	H12	K17
E03	1333	1071	J12	M17
F03	1334	1072	L12	O17
G03	1335	1065	N12	A17
H03	1336	1066	P12	C17
A04	1017	1139	A05	E12
B04	1018	1140	C05	G12
C04	1019	1141	E05	I12
D04	1020	1142	G05	K12
E04	1021	1143	I05	M12
F04	1022	1144	K05	O12
G04	1023	1137	M05	A12
H04	1024	1138	O05	C12
A05	1153	1275	A16	F21
B05	1154	1276	C16	H21
C05	1155	1277	E16	J21
D05	1156	1278	G16	L21
E05	1157	1279	I16	N21
F05	1158	1280	K16	P21
G05	1159	1273	M16	B21
H05	1160	1274	O16	D21
A06	1025	1147	A07	E14
B06	1026	1148	C07	G14
C06	1027	1149	E07	I14
D06	1028	1150	G07	K14
E06	1029	1151	I07	M14
F06	1030	1152	K07	O14
G06	1031	1145	M07	A14
H06	1032	1146	O07	C14
A07	1105	1227	A04	F09
B07	1106	1228	C04	H09
C07	1107	1229	E04	J09
D07	1108	1230	G04	L09
E07	1109	1231	I04	N09
F07	1110	1232	K04	P09
G07	1111	1225	M04	B09
H07	1112	1226	O04	D09
A08	1321	1059	B10	E15
B08	1322	1060	D10	G15
C08	1323	1061	F10	I15
D08	1324	1062	H10	K15
E08	1325	1063	J10	M15
F08	1326	1064	L10	O15
G08	1327	1057	N10	A15
H08	1328	1058	P10	C15
A09	1249	1371	B15	F22
B09	1250	1372	D15	H22
C09	1251	1373	F15	J22
D09	1252	1374	H15	L22
E09	1253	1375	J15	N22
F09	1254	1376	L15	P22
G09	1255	1369	N15	B22
H09	1256	1370	P15	D22
A10	1089	1211	A23	F05
B10	1090	1212	C23	H05
C10	1091	1213	E23	J05
D10	1092	1214	G23	L05
E10	1093	1215	I23	N05
F10	1094	1216	K23	P05
G10	1095	1209	M23	B05
H10	1096	1210	O23	D05
A11	1337	1075	B14	E19
B11	1338	1076	D14	G19
C11	1339	1077	F14	I19
D11	1340	1078	H14	K19
E11	1341	1079	J14	M19
F11	1342	1080	L14	O19
G11	1343	1073	N14	A19
H11	1344	1074	P14	C19
A12	1073	1195	A19	F01
B12	1074	1196	C19	H01
C12	1075	1197	E19	J01
D12	1076	1198	G19	L01
E12	1077	1199	I19	N01
F12	1078	1200	K19	P01
G12	1079	1193	M19	B01
H12	1080	1194	O19	D01
