#Destpos	P7	P5	P7_pos	P5_pos
A01	1065	1331	A17	F12
B01	1066	1332	C17	H12
C01	1067	1333	E17	J12
D01	1068	1334	G17	L12
E01	1069	1335	I17	N12
F01	1070	1336	K17	P12
G01	1071	1329	M17	B12
H01	1072	1330	O17	D12
A02	1313	1195	B08	F01
B02	1314	1196	D08	H01
C02	1315	1197	F08	J01
D02	1316	1198	H08	L01
E02	1317	1199	J08	N01
F02	1318	1200	L08	P01
G02	1319	1193	N08	B01
H02	1320	1194	P08	D01
A03	1089	1355	A23	F18
B03	1090	1356	C23	H18
C03	1091	1357	E23	J18
D03	1092	1358	G23	L18
E03	1093	1359	I23	N18
F03	1094	1360	K23	P18
G03	1095	1353	M23	B18
H03	1096	1354	O23	D18
A04	1049	1315	A13	F08
B04	1050	1316	C13	H08
C04	1051	1317	E13	J08
D04	1052	1318	G13	L08
E04	1053	1319	I13	N08
F04	1054	1320	K13	P08
G04	1055	1313	M13	B08
H04	1056	1314	O13	D08
A05	1225	1107	B09	E04
B05	1226	1108	D09	G04
C05	1227	1109	F09	I04
D05	1228	1110	H09	K04
E05	1229	1111	J09	M04
F05	1230	1112	L09	O04
G05	1231	1105	N09	A04
H05	1232	1106	P09	C04
A06	1017	1283	A05	F23
B06	1018	1284	C05	H23
C06	1019	1285	E05	J23
D06	1020	1286	G05	L23
E06	1021	1287	I05	N23
F06	1022	1288	K05	P23
G06	1023	1281	M05	B23
H06	1024	1282	O05	D23
A07	1185	1067	A24	E17
B07	1186	1068	C24	G17
C07	1187	1069	E24	I17
D07	1188	1070	G24	K17
E07	1189	1071	I24	M17
F07	1190	1072	K24	O17
G07	1191	1065	M24	A17
H07	1192	1066	O24	C17
A08	1201	1083	B03	E21
B08	1202	1084	D03	G21
C08	1203	1085	F03	I21
D08	1204	1086	H03	K21
E08	1205	1087	J03	M21
F08	1206	1088	L03	O21
G08	1207	1081	N03	A21
H08	1208	1082	P03	C21
A09	1265	1147	B19	E14
B09	1266	1148	D19	G14
C09	1267	1149	F19	I14
D09	1268	1150	H19	K14
E09	1269	1151	J19	M14
F09	1270	1152	L19	O14
G09	1271	1145	N19	A14
H09	1272	1146	P19	C14
A10	1081	1347	A21	F16
B10	1082	1348	C21	H16
C10	1083	1349	E21	J16
D10	1084	1350	G21	L16
E10	1085	1351	I21	N16
F10	1086	1352	K21	P16
G10	1087	1345	M21	B16
H10	1088	1346	O21	D16
A11	1361	1243	B20	F13
B11	1362	1244	D20	H13
C11	1363	1245	F20	J13
D11	1364	1246	H20	L13
E11	1365	1247	J20	N13
F11	1366	1248	L20	P13
G11	1367	1241	N20	B13
H11	1368	1242	P20	D13
A12	1345	1227	B16	F09
B12	1346	1228	D16	H09
C12	1347	1229	F16	J09
D12	1348	1230	H16	L09
E12	1349	1231	J16	N09
F12	1350	1232	L16	P09
G12	1351	1225	N16	B09
H12	1352	1226	P16	D09
