#Destpos	P7	P5	P7_pos	P5_pos
A01	1329	1159	B12	M16
B01	1330	1160	D12	O16
C01	1331	1153	F12	A16
D01	1332	1154	H12	C16
E01	1333	1155	J12	E16
F01	1334	1156	L12	G16
G01	1335	1157	N12	I16
H01	1336	1158	P12	K16
A02	1305	1135	B06	M10
B02	1306	1136	D06	O10
C02	1307	1129	F06	A10
D02	1308	1130	H06	C10
E02	1309	1131	J06	E10
F02	1310	1132	L06	G10
G02	1311	1133	N06	I10
H02	1312	1134	P06	K10
A03	1097	1311	A02	N06
B03	1098	1312	C02	P06
C03	1099	1305	E02	B06
D03	1100	1306	G02	D06
E03	1101	1307	I02	F06
F03	1102	1308	K02	H06
G03	1103	1309	M02	J06
H03	1104	1310	O02	L06
A04	1177	1007	A22	M01
B04	1178	1008	C22	O01
C04	1179	1001	E22	A01
D04	1180	1002	G22	C01
E04	1181	1003	I22	E01
F04	1182	1004	K22	G01
G04	1183	1005	M22	I01
H04	1184	1006	O22	K01
A05	1241	1071	B13	M17
B05	1242	1072	D13	O17
C05	1243	1065	F13	A17
D05	1244	1066	H13	C17
E05	1245	1067	J13	E17
F05	1246	1068	L13	G17
G05	1247	1069	N13	I17
H05	1248	1070	P13	K17
A06	1113	1327	A06	N10
B06	1114	1328	C06	P10
C06	1115	1321	E06	B10
D06	1116	1322	G06	D10
E06	1117	1323	I06	F10
F06	1118	1324	K06	H10
G06	1119	1325	M06	J10
H06	1120	1326	O06	L10
A07	1185	1015	A24	M03
B07	1186	1016	C24	O03
C07	1187	1009	E24	A03
D07	1188	1010	G24	C03
E07	1189	1011	I24	E03
F07	1190	1012	K24	G03
G07	1191	1013	M24	I03
H07	1192	1014	O24	K03
A08	1073	1287	A19	N23
B08	1074	1288	C19	P23
C08	1075	1281	E19	B23
D08	1076	1282	G19	D23
E08	1077	1283	I19	F23
F08	1078	1284	K19	H23
G08	1079	1285	M19	J23
H08	1080	1286	O19	L23
A09	1217	1047	B07	M11
B09	1218	1048	D07	O11
C09	1219	1041	F07	A11
D09	1220	1042	H07	C11
E09	1221	1043	J07	E11
F09	1222	1044	L07	G11
G09	1223	1045	N07	I11
H09	1224	1046	P07	K11
A10	1169	1383	A20	N24
B10	1170	1384	C20	P24
C10	1171	1377	E20	B24
D10	1172	1378	G20	D24
E10	1173	1379	I20	F24
F10	1174	1380	K20	H24
G10	1175	1381	M20	J24
H10	1176	1382	O20	L24
A11	1345	1175	B16	M20
B11	1346	1176	D16	O20
C11	1347	1169	F16	A20
D11	1348	1170	H16	C20
E11	1349	1171	J16	E20
F11	1350	1172	L16	G20
G11	1351	1173	N16	I20
H11	1352	1174	P16	K20
A12	1017	1231	A05	N09
B12	1018	1232	C05	P09
C12	1019	1225	E05	B09
D12	1020	1226	G05	D09
E12	1021	1227	I05	F09
F12	1022	1228	K05	H09
G12	1023	1229	M05	J09
H12	1024	1230	O05	L09
