#Destpos	P7	P5	P7_pos	P5_pos
A01	1209	1059	B05	E15
B01	1210	1060	D05	G15
C01	1211	1061	F05	I15
D01	1212	1062	H05	K15
E01	1213	1063	J05	M15
F01	1214	1064	L05	O15
G01	1215	1057	N05	A15
H01	1216	1058	P05	C15
A02	1089	1323	A23	F10
B02	1090	1324	C23	H10
C02	1091	1325	E23	J10
D02	1092	1326	G23	L10
E02	1093	1327	I23	N10
F02	1094	1328	K23	P10
G02	1095	1321	M23	B10
H02	1096	1322	O23	D10
A03	1073	1307	A19	F06
B03	1074	1308	C19	H06
C03	1075	1309	E19	J06
D03	1076	1310	G19	L06
E03	1077	1311	I19	N06
F03	1078	1312	K19	P06
G03	1079	1305	M19	B06
H03	1080	1306	O19	D06
A04	1345	1195	B16	F01
B04	1346	1196	D16	H01
C04	1347	1197	F16	J01
D04	1348	1198	H16	L01
E04	1349	1199	J16	N01
F04	1350	1200	L16	P01
G04	1351	1193	N16	B01
H04	1352	1194	P16	D01
A05	1241	1091	B13	E23
B05	1242	1092	D13	G23
C05	1243	1093	F13	I23
D05	1244	1094	H13	K23
E05	1245	1095	J13	M23
F05	1246	1096	L13	O23
G05	1247	1089	N13	A23
H05	1248	1090	P13	C23
A06	1233	1083	B11	E21
B06	1234	1084	D11	G21
C06	1235	1085	F11	I21
D06	1236	1086	H11	K21
E06	1237	1087	J11	M21
F06	1238	1088	L11	O21
G06	1239	1081	N11	A21
H06	1240	1082	P11	C21
A07	1217	1067	B07	E17
B07	1218	1068	D07	G17
C07	1219	1069	F07	I17
D07	1220	1070	H07	K17
E07	1221	1071	J07	M17
F07	1222	1072	L07	O17
G07	1223	1065	N07	A17
H07	1224	1066	P07	C17
A08	1361	1211	B20	F05
B08	1362	1212	D20	H05
C08	1363	1213	F20	J05
D08	1364	1214	H20	L05
E08	1365	1215	J20	N05
F08	1366	1216	L20	P05
G08	1367	1209	N20	B05
H08	1368	1210	P20	D05
A09	1153	1003	A16	E01
B09	1154	1004	C16	G01
C09	1155	1005	E16	I01
D09	1156	1006	G16	K01
E09	1157	1007	I16	M01
F09	1158	1008	K16	O01
G09	1159	1001	M16	A01
H09	1160	1002	O16	C01
A10	1097	1331	A02	F12
B10	1098	1332	C02	H12
C10	1099	1333	E02	J12
D10	1100	1334	G02	L12
E10	1101	1335	I02	N12
F10	1102	1336	K02	P12
G10	1103	1329	M02	B12
H10	1104	1330	O02	D12
A11	1145	1379	A14	F24
B11	1146	1380	C14	H24
C11	1147	1381	E14	J24
D11	1148	1382	G14	L24
E11	1149	1383	I14	N24
F11	1150	1384	K14	P24
G11	1151	1377	M14	B24
H11	1152	1378	O14	D24
A12	1057	1291	A15	F02
B12	1058	1292	C15	H02
C12	1059	1293	E15	J02
D12	1060	1294	G15	L02
E12	1061	1295	I15	N02
F12	1062	1296	K15	P02
G12	1063	1289	M15	B02
H12	1064	1290	O15	D02
