#Destpos	P7	P5	P7_pos	P5_pos
A01	1009	1267	A03	F19
B01	1010	1268	C03	H19
C01	1011	1269	E03	J19
D01	1012	1270	G03	L19
E01	1013	1271	I03	N19
F01	1014	1272	K03	P19
G01	1015	1265	M03	B19
H01	1016	1266	O03	D19
A02	1297	1171	B04	E20
B02	1298	1172	D04	G20
C02	1299	1173	F04	I20
D02	1300	1174	H04	K20
E02	1301	1175	J04	M20
F02	1302	1176	L04	O20
G02	1303	1169	N04	A20
H02	1304	1170	P04	C20
A03	1153	1027	A16	E07
B03	1154	1028	C16	G07
C03	1155	1029	E16	I07
D03	1156	1030	G16	K07
E03	1157	1031	I16	M07
F03	1158	1032	K16	O07
G03	1159	1025	M16	A07
H03	1160	1026	O16	C07
A04	1201	1075	B03	E19
B04	1202	1076	D03	G19
C04	1203	1077	F03	I19
D04	1204	1078	H03	K19
E04	1205	1079	J03	M19
F04	1206	1080	L03	O19
G04	1207	1073	N03	A19
H04	1208	1074	P03	C19
A05	1257	1131	B17	E10
B05	1258	1132	D17	G10
C05	1259	1133	F17	I10
D05	1260	1134	H17	K10
E05	1261	1135	J17	M10
F05	1262	1136	L17	O10
G05	1263	1129	N17	A10
H05	1264	1130	P17	C10
A06	1209	1083	B05	E21
B06	1210	1084	D05	G21
C06	1211	1085	F05	I21
D06	1212	1086	H05	K21
E06	1213	1087	J05	M21
F06	1214	1088	L05	O21
G06	1215	1081	N05	A21
H06	1216	1082	P05	C21
A07	1089	1347	A23	F16
B07	1090	1348	C23	H16
C07	1091	1349	E23	J16
D07	1092	1350	G23	L16
E07	1093	1351	I23	N16
F07	1094	1352	K23	P16
G07	1095	1345	M23	B16
H07	1096	1346	O23	D16
A08	1233	1107	B11	E04
B08	1234	1108	D11	G04
C08	1235	1109	F11	I04
D08	1236	1110	H11	K04
E08	1237	1111	J11	M04
F08	1238	1112	L11	O04
G08	1239	1105	N11	A04
H08	1240	1106	P11	C04
A09	1121	1379	A08	F24
B09	1122	1380	C08	H24
C09	1123	1381	E08	J24
D09	1124	1382	G08	L24
E09	1125	1383	I08	N24
F09	1126	1384	K08	P24
G09	1127	1377	M08	B24
H09	1128	1378	O08	D24
A10	1321	1195	B10	F01
B10	1322	1196	D10	H01
C10	1323	1197	F10	J01
D10	1324	1198	H10	L01
E10	1325	1199	J10	N01
F10	1326	1200	L10	P01
G10	1327	1193	N10	B01
H10	1328	1194	P10	D01
A11	1065	1323	A17	F10
B11	1066	1324	C17	H10
C11	1067	1325	E17	J10
D11	1068	1326	G17	L10
E11	1069	1327	I17	N10
F11	1070	1328	K17	P10
G11	1071	1321	M17	B10
H11	1072	1322	O17	D10
A12	1369	1243	B22	F13
B12	1370	1244	D22	H13
C12	1371	1245	F22	J13
D12	1372	1246	H22	L13
E12	1373	1247	J22	N13
F12	1374	1248	L22	P13
G12	1375	1241	N22	B13
H12	1376	1242	P22	D13
