#Destpos	P7	P5	P7_pos	P5_pos
A01	1361	1039	B20	M09
B01	1362	1040	D20	O09
C01	1363	1033	F20	A09
D01	1364	1034	H20	C09
E01	1365	1035	J20	E09
F01	1366	1036	L20	G09
G01	1367	1037	N20	I09
H01	1368	1038	P20	K09
A02	1041	1103	A11	M02
B02	1042	1104	C11	O02
C02	1043	1097	E11	A02
D02	1044	1098	G11	C02
E02	1045	1099	I11	E02
F02	1046	1100	K11	G02
G02	1047	1101	M11	I02
H02	1048	1102	O11	K02
A03	1209	1271	B05	N19
B03	1210	1272	D05	P19
C03	1211	1265	F05	B19
D03	1212	1266	H05	D19
E03	1213	1267	J05	F19
F03	1214	1268	L05	H19
G03	1215	1269	N05	J19
H03	1216	1270	P05	L19
A04	1169	1231	A20	N09
B04	1170	1232	C20	P09
C04	1171	1225	E20	B09
D04	1172	1226	G20	D09
E04	1173	1227	I20	F09
F04	1174	1228	K20	H09
G04	1175	1229	M20	J09
H04	1176	1230	O20	L09
A05	1097	1159	A02	M16
B05	1098	1160	C02	O16
C05	1099	1153	E02	A16
D05	1100	1154	G02	C16
E05	1101	1155	I02	E16
F05	1102	1156	K02	G16
G05	1103	1157	M02	I16
H05	1104	1158	O02	K16
A06	1033	1095	A09	M23
B06	1034	1096	C09	O23
C06	1035	1089	E09	A23
D06	1036	1090	G09	C23
E06	1037	1091	I09	E23
F06	1038	1092	K09	G23
G06	1039	1093	M09	I23
H06	1040	1094	O09	K23
A07	1185	1247	A24	N13
B07	1186	1248	C24	P13
C07	1187	1241	E24	B13
D07	1188	1242	G24	D13
E07	1189	1243	I24	F13
F07	1190	1244	K24	H13
G07	1191	1245	M24	J13
H07	1192	1246	O24	L13
A08	1329	1007	B12	M01
B08	1330	1008	D12	O01
C08	1331	1001	F12	A01
D08	1332	1002	H12	C01
E08	1333	1003	J12	E01
F08	1334	1004	L12	G01
G08	1335	1005	N12	I01
H08	1336	1006	P12	K01
A09	1273	1335	B21	N12
B09	1274	1336	D21	P12
C09	1275	1329	F21	B12
D09	1276	1330	H21	D12
E09	1277	1331	J21	F12
F09	1278	1332	L21	H12
G09	1279	1333	N21	J12
H09	1280	1334	P21	L12
A10	1105	1167	A04	M18
B10	1106	1168	C04	O18
C10	1107	1161	E04	A18
D10	1108	1162	G04	C18
E10	1109	1163	I04	E18
F10	1110	1164	K04	G18
G10	1111	1165	M04	I18
H10	1112	1166	O04	K18
A11	1193	1255	B01	N15
B11	1194	1256	D01	P15
C11	1195	1249	F01	B15
D11	1196	1250	H01	D15
E11	1197	1251	J01	F15
F11	1198	1252	L01	H15
G11	1199	1253	N01	J15
H11	1200	1254	P01	L15
A12	1057	1119	A15	M06
B12	1058	1120	C15	O06
C12	1059	1113	E15	A06
D12	1060	1114	G15	C06
E12	1061	1115	I15	E06
F12	1062	1116	K15	G06
G12	1063	1117	M15	I06
H12	1064	1118	O15	K06
