#Destpos	P7	P5	P7_pos	P5_pos
A01	1049	1309	A13	J06
B01	1050	1310	C13	L06
C01	1051	1311	E13	N06
D01	1052	1312	G13	P06
E01	1053	1305	I13	B06
F01	1054	1306	K13	D06
G01	1055	1307	M13	F06
H01	1056	1308	O13	H06
A02	1217	1093	B07	I23
B02	1218	1094	D07	K23
C02	1219	1095	F07	M23
D02	1220	1096	H07	O23
E02	1221	1089	J07	A23
F02	1222	1090	L07	C23
G02	1223	1091	N07	E23
H02	1224	1092	P07	G23
A03	1073	1333	A19	J12
B03	1074	1334	C19	L12
C03	1075	1335	E19	N12
D03	1076	1336	G19	P12
E03	1077	1329	I19	B12
F03	1078	1330	K19	D12
G03	1079	1331	M19	F12
H03	1080	1332	O19	H12
A04	1241	1117	B13	I06
B04	1242	1118	D13	K06
C04	1243	1119	F13	M06
D04	1244	1120	H13	O06
E04	1245	1113	J13	A06
F04	1246	1114	L13	C06
G04	1247	1115	N13	E06
H04	1248	1116	P13	G06
A05	1193	1069	B01	I17
B05	1194	1070	D01	K17
C05	1195	1071	F01	M17
D05	1196	1072	H01	O17
E05	1197	1065	J01	A17
F05	1198	1066	L01	C17
G05	1199	1067	N01	E17
H05	1200	1068	P01	G17
A06	1265	1141	B19	I12
B06	1266	1142	D19	K12
C06	1267	1143	F19	M12
D06	1268	1144	H19	O12
E06	1269	1137	J19	A12
F06	1270	1138	L19	C12
G06	1271	1139	N19	E12
H06	1272	1140	P19	G12
A07	1017	1277	A05	J21
B07	1018	1278	C05	L21
C07	1019	1279	E05	N21
D07	1020	1280	G05	P21
E07	1021	1273	I05	B21
F07	1022	1274	K05	D21
G07	1023	1275	M05	F21
H07	1024	1276	O05	H21
A08	1225	1101	B09	I02
B08	1226	1102	D09	K02
C08	1227	1103	F09	M02
D08	1228	1104	H09	O02
E08	1229	1097	J09	A02
F08	1230	1098	L09	C02
G08	1231	1099	N09	E02
H08	1232	1100	P09	G02
A09	1105	1365	A04	J20
B09	1106	1366	C04	L20
C09	1107	1367	E04	N20
D09	1108	1368	G04	P20
E09	1109	1361	I04	B20
F09	1110	1362	K04	D20
G09	1111	1363	M04	F20
H09	1112	1364	O04	H20
A10	1249	1125	B15	I08
B10	1250	1126	D15	K08
C10	1251	1127	F15	M08
D10	1252	1128	H15	O08
E10	1253	1121	J15	A08
F10	1254	1122	L15	C08
G10	1255	1123	N15	E08
H10	1256	1124	P15	G08
A11	1305	1181	B06	I22
B11	1306	1182	D06	K22
C11	1307	1183	F06	M22
D11	1308	1184	H06	O22
E11	1309	1177	J06	A22
F11	1310	1178	L06	C22
G11	1311	1179	N06	E22
H11	1312	1180	P06	G22
A12	1121	1381	A08	J24
B12	1122	1382	C08	L24
C12	1123	1383	E08	N24
D12	1124	1384	G08	P24
E12	1125	1377	I08	B24
F12	1126	1378	K08	D24
G12	1127	1379	M08	F24
H12	1128	1380	O08	H24
